GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Income in the past 12 months below poverty level:,Margin of Error; Income in the past 12 months below poverty level:,Estimate; Income in the past 12 months below poverty level: - Less than high school graduate,Margin of Error; Income in the past 12 months below poverty level: - Less than high school graduate,Estimate; Income in the past 12 months below poverty level: - High school graduate (includes equivalency),Margin of Error; Income in the past 12 months below poverty level: - High school graduate (includes equivalency),"Estimate; Income in the past 12 months below poverty level: - Some college, associate's degree","Margin of Error; Income in the past 12 months below poverty level: - Some college, associate's degree",Estimate; Income in the past 12 months below poverty level: - Bachelor's degree or higher,Margin of Error; Income in the past 12 months below poverty level: - Bachelor's degree or higher,Estimate; Income in the past 12 months at or above poverty level:,Margin of Error; Income in the past 12 months at or above poverty level:,Estimate; Income in the past 12 months at or above poverty level: - Less than high school graduate,Margin of Error; Income in the past 12 months at or above poverty level: - Less than high school graduate,Estimate; Income in the past 12 months at or above poverty level: - High school graduate (includes equivalency),Margin of Error; Income in the past 12 months at or above poverty level: - High school graduate (includes equivalency),"Estimate; Income in the past 12 months at or above poverty level: - Some college, associate's degree","Margin of Error; Income in the past 12 months at or above poverty level: - Some college, associate's degree",Estimate; Income in the past 12 months at or above poverty level: - Bachelor's degree or higher,Margin of Error; Income in the past 12 months at or above poverty level: - Bachelor's degree or higher
0500000US01003,01003,"Baldwin County, Alabama",110194,421,8753,2784,2070,852,2612,1376,3213,1463,858,588,101441,2727,12375,1866,29166,2763,31454,2854,28446,2871
0500000US01015,01015,"Calhoun County, Alabama",74385,622,9417,1596,3884,1015,3024,979,2021,681,488,360,64968,1646,11133,1710,23173,2396,17181,1971,13481,1371
0500000US01043,01043,"Cullman County, Alabama",54033,270,7539,1465,3247,878,2717,965,1000,451,575,432,46494,1505,9964,1245,16796,2131,13332,1886,6402,1194
0500000US01049,01049,"DeKalb County, Alabama",44383,564,8332,1877,4715,1336,2236,653,1131,645,250,299,36051,2044,10405,1534,12041,1482,9140,1239,4465,1028
0500000US01051,01051,"Elmore County, Alabama",43995,510,4989,1343,1922,898,1934,835,977,792,156,173,39006,1252,4547,1173,13719,1643,12747,1613,7993,1429
0500000US01055,01055,"Etowah County, Alabama",69279,553,8902,1544,3570,852,3168,1083,1481,470,683,424,60377,1510,12153,1674,18762,1749,20648,1784,8814,1334
0500000US01069,01069,"Houston County, Alabama",62236,104,6991,965,2797,595,2570,640,1461,517,163,105,55245,983,8558,1256,15649,1375,17951,1446,13087,1264
0500000US01073,01073,"Jefferson County, Alabama",428340,501,48343,5754,14964,2735,17888,3404,11207,2100,4284,1275,379997,5778,46503,4127,109523,5682,110965,5502,113006,5509
0500000US01077,01077,"Lauderdale County, Alabama",59286,503,8299,1590,3560,978,2179,770,2155,989,405,314,50987,1509,9742,1412,16955,1930,13777,1743,10513,1396
0500000US01081,01081,"Lee County, Alabama",68920,308,7828,1379,3457,815,2052,674,1389,438,930,380,61092,1400,7807,1556,15619,1529,19500,1699,18166,1575
0500000US01083,01083,"Limestone County, Alabama",45953,410,4967,1562,2474,1032,1568,702,745,451,180,168,40986,1643,7389,988,14232,1809,11886,1530,7479,1301
0500000US01089,01089,"Madison County, Alabama",194404,421,14236,2148,5673,1457,3390,945,3867,939,1306,554,180168,2239,18266,2282,37147,3487,47373,2881,77382,3670
0500000US01095,01095,"Marshall County, Alabama",56414,756,9370,2201,5344,1506,2065,794,1869,858,92,118,47044,2254,9660,1658,13472,1688,15598,1546,8314,1428
0500000US01097,01097,"Mobile County, Alabama",252650,531,37047,4070,12778,2131,13281,2527,9165,2009,1823,673,215603,4021,30989,3207,74529,4693,59644,4483,50441,3713
0500000US01101,01101,"Montgomery County, Alabama",133485,471,15048,2360,5268,1366,6887,1565,2204,824,689,325,118437,2399,18084,2943,28456,2927,30768,2223,41129,3455
0500000US01103,01103,"Morgan County, Alabama",75356,702,7747,1517,3827,1138,2222,762,1388,718,310,240,67609,1632,10001,1759,22281,2438,21229,2109,14098,1716
0500000US01115,01115,"St. Clair County, Alabama",47715,2699,4959,2107,1311,475,2068,1193,1459,1020,121,135,42756,3315,6171,1359,16234,2385,12494,1717,7857,2286
0500000US01117,01117,"Shelby County, Alabama",111299,1074,5326,1319,1490,770,1949,872,991,466,896,526,105973,1719,9041,1808,23477,2215,28791,2621,44664,2589
0500000US01121,01121,"Talladega County, Alabama",51877,462,7688,1775,4443,1481,2080,741,1046,597,119,137,44189,1911,9044,1396,16214,1774,12736,1606,6195,1035
0500000US01125,01125,"Tuscaloosa County, Alabama",101771,915,13291,1935,5678,1140,4218,1062,2775,1055,620,416,88480,2239,12225,1694,25538,2535,25251,2143,25466,2376
0500000US01127,01127,"Walker County, Alabama",47832,281,5226,1073,2049,538,1976,716,927,429,274,220,42606,1164,9861,1589,15171,1722,12523,1755,5051,930
0500000US02020,02020,"Anchorage Municipality, Alaska",161554,1249,12350,1988,2976,1059,4684,1227,3678,902,1012,451,149204,2404,10452,1623,33797,2531,53723,3288,51232,2965
0500000US02090,02090,"Fairbanks North Star Borough, Alaska",48879,821,3269,869,219,224,1306,581,1459,582,285,212,45610,1130,2613,704,11029,1440,17462,1726,14506,1584
0500000US02170,02170,"Matanuska-Susitna Borough, Alaska",47159,644,4745,1011,280,178,3001,820,1400,478,64,67,42414,1252,2933,930,13211,1226,15972,1279,10298,1523
0500000US04001,04001,"Apache County, Arizona",36545,862,13284,2371,6208,1723,4511,1442,2379,741,186,204,23261,2237,5770,1793,6931,1653,6426,1478,4134,1051
0500000US04003,04003,"Cochise County, Arizona",78256,809,10909,1989,3708,1013,2812,866,3277,775,1112,736,67347,2123,8163,1033,17144,2093,25861,2255,16179,1798
0500000US04005,04005,"Coconino County, Arizona",72047,829,8876,1839,3538,1094,2441,907,1666,620,1231,501,63171,2007,9394,1818,12648,1756,19445,2257,21684,1847
0500000US04013,04013,"Maricopa County, Arizona",2262028,656,204932,9475,76903,6509,58236,4081,48673,4011,21120,2605,2057096,9362,277029,9502,488229,12316,695785,11861,596053,10812
0500000US04015,04015,"Mohave County, Arizona",128992,675,15248,2462,3193,1010,6956,1789,4109,1381,990,676,113744,2656,18155,2275,40923,3018,38556,3334,16110,2199
0500000US04017,04017,"Navajo County, Arizona",59361,1313,13262,2151,5988,1590,3768,1114,3442,1211,64,103,46099,2261,8941,1776,11622,1941,17431,1751,8105,1519
0500000US04019,04019,"Pima County, Arizona",586686,280,58736,4929,17335,2829,16816,2461,15511,2210,9074,1631,527950,4906,60341,4101,124787,4762,175081,5652,167741,5498
