GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Income in the past 12 months below poverty level:,Margin of Error; Income in the past 12 months below poverty level:,Estimate; Income in the past 12 months below poverty level: - Less than high school graduate,Margin of Error; Income in the past 12 months below poverty level: - Less than high school graduate,Estimate; Income in the past 12 months below poverty level: - High school graduate (includes equivalency),Margin of Error; Income in the past 12 months below poverty level: - High school graduate (includes equivalency),"Estimate; Income in the past 12 months below poverty level: - Some college, associate's degree","Margin of Error; Income in the past 12 months below poverty level: - Some college, associate's degree",Estimate; Income in the past 12 months below poverty level: - Bachelor's degree or higher,Margin of Error; Income in the past 12 months below poverty level: - Bachelor's degree or higher,Estimate; Income in the past 12 months at or above poverty level:,Margin of Error; Income in the past 12 months at or above poverty level:,Estimate; Income in the past 12 months at or above poverty level: - Less than high school graduate,Margin of Error; Income in the past 12 months at or above poverty level: - Less than high school graduate,Estimate; Income in the past 12 months at or above poverty level: - High school graduate (includes equivalency),Margin of Error; Income in the past 12 months at or above poverty level: - High school graduate (includes equivalency),"Estimate; Income in the past 12 months at or above poverty level: - Some college, associate's degree","Margin of Error; Income in the past 12 months at or above poverty level: - Some college, associate's degree",Estimate; Income in the past 12 months at or above poverty level: - Bachelor's degree or higher,Margin of Error; Income in the past 12 months at or above poverty level: - Bachelor's degree or higher
0500000US01003,01003,"Baldwin County, Alabama",133362,2103,14560,2381,2526,1014,4660,1403,4885,1345,2489,976,118802,3177,9312,2232,34579,3585,38429,3371,36482,3234
0500000US01015,01015,"Calhoun County, Alabama",77382,924,13065,2136,4928,1173,3622,1088,3480,1141,1035,579,64317,2457,10082,1805,22371,2247,21257,1915,10607,1678
0500000US01043,01043,"Cullman County, Alabama",55029,639,8183,1490,2665,1027,2151,742,2878,830,489,390,46846,1597,6033,1198,15294,1543,16055,1812,9464,1252
0500000US01049,01049,"DeKalb County, Alabama",46704,759,6708,2010,2773,1270,2193,856,1128,506,614,700,39996,2056,10436,1533,13447,1917,10423,1784,5690,1380
0500000US01051,01051,"Elmore County, Alabama",50306,1799,4557,1272,1047,402,2598,1067,897,522,15,25,45749,2218,3956,1039,17199,2023,14883,2123,9711,1602
0500000US01055,01055,"Etowah County, Alabama",71115,996,11326,1627,4458,984,3773,1035,2803,770,292,301,59789,1810,8263,1080,18430,2074,21838,1963,11258,1534
0500000US01069,01069,"Houston County, Alabama",69602,473,9459,989,3216,500,3382,653,2316,408,545,218,60143,1058,6993,793,19940,1090,19661,1310,13549,938
0500000US01073,01073,"Jefferson County, Alabama",438756,1011,64959,4365,18448,2672,18107,2019,20514,2544,7890,1382,373797,4563,31620,3432,95953,4711,115495,5838,130729,5102
0500000US01077,01077,"Lauderdale County, Alabama",61748,644,7209,1432,2765,920,1971,750,1462,585,1011,401,54539,1497,7313,1869,19338,2050,17982,1906,9906,1392
