"Notes"	"Year"	"Year Code"	"Single-Year Ages"	"Single-Year Ages Code"	Deaths	Population	Crude Rate
	"1999"	"1999"	"< 1 year"	"0"	76	11198	678.7
	"1999"	"1999"	"1 year"	"1"	Suppressed	11146	Suppressed
	"1999"	"1999"	"2 years"	"2"	Suppressed	11210	Suppressed
	"1999"	"1999"	"3 years"	"3"	Suppressed	11024	Suppressed
	"1999"	"1999"	"4 years"	"4"	Suppressed	11284	Suppressed
	"1999"	"1999"	"5 years"	"5"	Suppressed	11374	Suppressed
	"1999"	"1999"	"6 years"	"6"	Suppressed	11239	Suppressed
	"1999"	"1999"	"7 years"	"7"	Suppressed	11564	Suppressed
	"1999"	"1999"	"8 years"	"8"	Suppressed	11862	Suppressed
	"1999"	"1999"	"9 years"	"9"	Suppressed	12307	Suppressed
	"1999"	"1999"	"10 years"	"10"	Suppressed	12025	Suppressed
	"1999"	"1999"	"11 years"	"11"	Suppressed	11431	Suppressed
	"1999"	"1999"	"12 years"	"12"	Suppressed	11604	Suppressed
	"1999"	"1999"	"13 years"	"13"	Suppressed	11837	Suppressed
	"1999"	"1999"	"14 years"	"14"	Suppressed	11896	Suppressed
	"1999"	"1999"	"15 years"	"15"	Suppressed	11862	Suppressed
	"1999"	"1999"	"16 years"	"16"	Suppressed	11830	Suppressed
	"1999"	"1999"	"17 years"	"17"	10	11859	Unreliable
	"1999"	"1999"	"18 years"	"18"	Suppressed	10991	Suppressed
	"1999"	"1999"	"19 years"	"19"	Suppressed	10656	Suppressed
	"1999"	"1999"	"20 years"	"20"	Suppressed	10138	Suppressed
	"1999"	"1999"	"21 years"	"21"	13	9827	Unreliable
	"1999"	"1999"	"22 years"	"22"	15	10135	Unreliable
	"1999"	"1999"	"23 years"	"23"	10	10411	Unreliable
	"1999"	"1999"	"24 years"	"24"	10	10832	Unreliable
	"1999"	"1999"	"25 years"	"25"	Suppressed	10855	Suppressed
	"1999"	"1999"	"26 years"	"26"	Suppressed	10728	Suppressed
	"1999"	"1999"	"27 years"	"27"	Suppressed	11314	Suppressed
	"1999"	"1999"	"28 years"	"28"	Suppressed	11722	Suppressed
	"1999"	"1999"	"29 years"	"29"	Suppressed	11372	Suppressed
	"1999"	"1999"	"30 years"	"30"	Suppressed	11187	Suppressed
	"1999"	"1999"	"31 years"	"31"	Suppressed	10655	Suppressed
	"1999"	"1999"	"32 years"	"32"	11	10911	Unreliable
	"1999"	"1999"	"33 years"	"33"	Suppressed	11015	Suppressed
	"1999"	"1999"	"34 years"	"34"	19	11782	Unreliable
	"1999"	"1999"	"35 years"	"35"	15	12811	Unreliable
	"1999"	"1999"	"36 years"	"36"	16	12596	Unreliable
	"1999"	"1999"	"37 years"	"37"	19	13057	Unreliable
	"1999"	"1999"	"38 years"	"38"	19	12843	Unreliable
	"1999"	"1999"	"39 years"	"39"	23	13070	176.0
	"1999"	"1999"	"40 years"	"40"	22	13115	167.7
	"1999"	"1999"	"41 years"	"41"	19	12296	Unreliable
	"1999"	"1999"	"42 years"	"42"	20	12471	160.4
	"1999"	"1999"	"43 years"	"43"	24	11697	205.2
	"1999"	"1999"	"44 years"	"44"	31	11796	262.8
	"1999"	"1999"	"45 years"	"45"	31	11599	267.3
	"1999"	"1999"	"46 years"	"46"	18	11150	Unreliable
	"1999"	"1999"	"47 years"	"47"	31	10738	288.7
	"1999"	"1999"	"48 years"	"48"	30	10380	289.0
	"1999"	"1999"	"49 years"	"49"	36	10561	340.9
	"1999"	"1999"	"50 years"	"50"	31	10175	304.7
	"1999"	"1999"	"51 years"	"51"	41	9734	421.2
	"1999"	"1999"	"52 years"	"52"	43	10303	417.4
	"1999"	"1999"	"53 years"	"53"	41	7318	560.3
	"1999"	"1999"	"54 years"	"54"	53	7333	722.8
	"1999"	"1999"	"55 years"	"55"	59	7255	813.2
	"1999"	"1999"	"56 years"	"56"	62	7420	835.6
	"1999"	"1999"	"57 years"	"57"	44	6494	677.5
	"1999"	"1999"	"58 years"	"58"	50	6086	821.6
	"1999"	"1999"	"59 years"	"59"	61	5842	1044.2
	"1999"	"1999"	"60 years"	"60"	61	5950	1025.2
