"Notes"	"Ten-Year Age Groups"	"Ten-Year Age Groups Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"< 1 year"	"1"	"1999"	"1999"	71	10399	682.8
	"< 1 year"	"1"	"2000"	"2000"	82	10365	791.1
	"< 1 year"	"1"	"2001"	"2001"	75	10604	707.3
	"< 1 year"	"1"	"2002"	"2002"	73	10230	713.6
	"< 1 year"	"1"	"2003"	"2003"	67	10090	664.0
	"< 1 year"	"1"	"2004"	"2004"	65	10143	640.8
	"< 1 year"	"1"	"2005"	"2005"	57	9811	581.0
	"< 1 year"	"1"	"2006"	"2006"	66	9842	670.6
	"< 1 year"	"1"	"2007"	"2007"	73	10080	724.2
	"< 1 year"	"1"	"2008"	"2008"	76	9967	762.5
	"< 1 year"	"1"	"2009"	"2009"	76	9809	774.8
	"< 1 year"	"1"	"2010"	"2010"	73	9667	755.1
	"< 1 year"	"1"	"2011"	"2011"	80	9679	826.5
	"< 1 year"	"1"	"2012"	"2012"	63	9337	674.7
	"< 1 year"	"1"	"2013"	"2013"	76	9332	814.4
	"< 1 year"	"1"	"2014"	"2014"	49	9487	516.5
	"< 1 year"	"1"	"2015"	"2015"	67	9584	699.1
	"< 1 year"	"1"	"2016"	"2016"	57	9461	602.5
	"1-4 years"	"1-4"	"1999"	"1999"	16	42277	Unreliable
	"1-4 years"	"1-4"	"2000"	"2000"	16	41731	Unreliable
	"1-4 years"	"1-4"	"2001"	"2001"	11	41102	Unreliable
	"1-4 years"	"1-4"	"2002"	"2002"	12	41335	Unreliable
	"1-4 years"	"1-4"	"2003"	"2003"	18	41155	Unreliable
	"1-4 years"	"1-4"	"2004"	"2004"	Suppressed	40714	Suppressed
	"1-4 years"	"1-4"	"2005"	"2005"	Suppressed	40493	Suppressed
	"1-4 years"	"1-4"	"2006"	"2006"	12	39493	Unreliable
	"1-4 years"	"1-4"	"2007"	"2007"	Suppressed	39010	Suppressed
	"1-4 years"	"1-4"	"2008"	"2008"	Suppressed	38757	Suppressed
	"1-4 years"	"1-4"	"2009"	"2009"	Suppressed	39047	Suppressed
	"1-4 years"	"1-4"	"2010"	"2010"	10	39163	Unreliable
	"1-4 years"	"1-4"	"2011"	"2011"	10	38810	Unreliable
	"1-4 years"	"1-4"	"2012"	"2012"	10	38384	Unreliable
	"1-4 years"	"1-4"	"2013"	"2013"	14	38239	Unreliable
	"1-4 years"	"1-4"	"2014"	"2014"	Suppressed	38289	Suppressed
	"1-4 years"	"1-4"	"2015"	"2015"	13	38273	Unreliable
