GEO.id,GEO.id2,GEO.display-label,HC01_EST_VC01,HC01_MOE_VC01,HC02_EST_VC01,HC02_MOE_VC01,HC03_EST_VC01,HC03_MOE_VC01,HC01_EST_VC02,HC01_MOE_VC02,HC02_EST_VC02,HC02_MOE_VC02,HC03_EST_VC02,HC03_MOE_VC02,HC01_EST_VC04,HC01_MOE_VC04,HC02_EST_VC04,HC02_MOE_VC04,HC03_EST_VC04,HC03_MOE_VC04,HC01_EST_VC05,HC01_MOE_VC05,HC02_EST_VC05,HC02_MOE_VC05,HC03_EST_VC05,HC03_MOE_VC05,HC01_EST_VC06,HC01_MOE_VC06,HC02_EST_VC06,HC02_MOE_VC06,HC03_EST_VC06,HC03_MOE_VC06,HC01_EST_VC07,HC01_MOE_VC07,HC02_EST_VC07,HC02_MOE_VC07,HC03_EST_VC07,HC03_MOE_VC07,HC01_EST_VC08,HC01_MOE_VC08,HC02_EST_VC08,HC02_MOE_VC08,HC03_EST_VC08,HC03_MOE_VC08,HC01_EST_VC09,HC01_MOE_VC09,HC02_EST_VC09,HC02_MOE_VC09,HC03_EST_VC09,HC03_MOE_VC09,HC01_EST_VC10,HC01_MOE_VC10,HC02_EST_VC10,HC02_MOE_VC10,HC03_EST_VC10,HC03_MOE_VC10,HC01_EST_VC11,HC01_MOE_VC11,HC02_EST_VC11,HC02_MOE_VC11,HC03_EST_VC11,HC03_MOE_VC11,HC01_EST_VC12,HC01_MOE_VC12,HC02_EST_VC12,HC02_MOE_VC12,HC03_EST_VC12,HC03_MOE_VC12,HC01_EST_VC13,HC01_MOE_VC13,HC02_EST_VC13,HC02_MOE_VC13,HC03_EST_VC13,HC03_MOE_VC13,HC01_EST_VC15,HC01_MOE_VC15,HC02_EST_VC15,HC02_MOE_VC15,HC03_EST_VC15,HC03_MOE_VC15,HC01_EST_VC16,HC01_MOE_VC16,HC02_EST_VC16,HC02_MOE_VC16,HC03_EST_VC16,HC03_MOE_VC16,HC01_EST_VC19,HC01_MOE_VC19,HC02_EST_VC19,HC02_MOE_VC19,HC03_EST_VC19,HC03_MOE_VC19,HC01_EST_VC20,HC01_MOE_VC20,HC02_EST_VC20,HC02_MOE_VC20,HC03_EST_VC20,HC03_MOE_VC20,HC01_EST_VC21,HC01_MOE_VC21,HC02_EST_VC21,HC02_MOE_VC21,HC03_EST_VC21,HC03_MOE_VC21,HC01_EST_VC22,HC01_MOE_VC22,HC02_EST_VC22,HC02_MOE_VC22,HC03_EST_VC22,HC03_MOE_VC22,HC01_EST_VC23,HC01_MOE_VC23,HC02_EST_VC23,HC02_MOE_VC23,HC03_EST_VC23,HC03_MOE_VC23,HC01_EST_VC24,HC01_MOE_VC24,HC02_EST_VC24,HC02_MOE_VC24,HC03_EST_VC24,HC03_MOE_VC24,HC01_EST_VC27,HC01_MOE_VC27,HC02_EST_VC27,HC02_MOE_VC27,HC03_EST_VC27,HC03_MOE_VC27
Id,Id2,Geography,Total; Estimate; Population 16 years and over with earnings,Total; Margin of Error; Population 16 years and over with earnings,Male; Estimate; Population 16 years and over with earnings,Male; Margin of Error; Population 16 years and over with earnings,Female; Estimate; Population 16 years and over with earnings,Female; Margin of Error; Population 16 years and over with earnings,Total; Estimate; Median earnings (dollars),Total; Margin of Error; Median earnings (dollars),Male; Estimate; Median earnings (dollars),Male; Margin of Error; Median earnings (dollars),Female; Estimate; Median earnings (dollars),Female; Margin of Error; Median earnings (dollars),"Total; Estimate; Full-time, year-round workers with earnings","Total; Margin of Error; Full-time, year-round workers with earnings","Male; Estimate; Full-time, year-round workers with earnings","Male; Margin of Error; Full-time, year-round workers with earnings","Female; Estimate; Full-time, year-round workers with earnings","Female; Margin of Error; Full-time, year-round workers with earnings","Total; Estimate; Full-time, year-round workers with earnings - $1 to $9,999 or loss","Total; Margin of Error; Full-time, year-round workers with earnings - $1 to $9,999 or loss","Male; Estimate; Full-time, year-round workers with earnings - $1 to $9,999 or loss","Male; Margin of Error; Full-time, year-round workers with earnings - $1 to $9,999 or loss","Female; Estimate; Full-time, year-round workers with earnings - $1 to $9,999 or loss","Female; Margin of Error; Full-time, year-round workers with earnings - $1 to $9,999 or loss","Total; Estimate; Full-time, year-round workers with earnings - $10,000 to $14,999","Total; Margin of Error; Full-time, year-round workers with earnings - $10,000 to $14,999","Male; Estimate; Full-time, year-round workers with earnings - $10,000 to $14,999","Male; Margin of Error; Full-time, year-round workers with earnings - $10,000 to $14,999","Female; Estimate; Full-time, year-round workers with earnings - $10,000 to $14,999","Female; Margin of Error; Full-time, year-round workers with earnings - $10,000 to $14,999","Total; Estimate; Full-time, year-round workers with earnings - $15,000 to $24,999","Total; Margin of Error; Full-time, year-round workers with earnings - $15,000 to $24,999","Male; Estimate; Full-time, year-round workers with earnings - $15,000 to $24,999","Male; Margin of Error; Full-time, year-round workers with earnings - $15,000 to $24,999","Female; Estimate; Full-time, year-round workers with earnings - $15,000 to $24,999","Female; Margin of Error; Full-time, year-round workers with earnings - $15,000 to $24,999","Total; Estimate; Full-time, year-round workers with earnings - $25,000 to $34,999","Total; Margin of Error; Full-time, year-round workers with earnings - $25,000 to $34,999","Male; Estimate; Full-time, year-round workers with earnings - $25,000 to $34,999","Male; Margin of Error; Full-time, year-round workers with earnings - $25,000 to $34,999","Female; Estimate; Full-time, year-round workers with earnings - $25,000 to $34,999","Female; Margin of Error; Full-time, year-round workers with earnings - $25,000 to $34,999","Total; Estimate; Full-time, year-round workers with earnings - $35,000 to $49,999","Total; Margin of Error; Full-time, year-round workers with earnings - $35,000 to $49,999","Male; Estimate; Full-time, year-round workers with earnings - $35,000 to $49,999","Male; Margin of Error; Full-time, year-round workers with earnings - $35,000 to $49,999","Female; Estimate; Full-time, year-round workers with earnings - $35,000 to $49,999","Female; Margin of Error; Full-time, year-round workers with earnings - $35,000 to $49,999","Total; Estimate; Full-time, year-round workers with earnings - $50,000 to $64,999","Total; Margin of Error; Full-time, year-round workers with earnings - $50,000 to $64,999","Male; Estimate; Full-time, year-round workers with earnings - $50,000 to $64,999","Male; Margin of Error; Full-time, year-round workers with earnings - $50,000 to $64,999","Female; Estimate; Full-time, year-round workers with earnings - $50,000 to $64,999","Female; Margin of Error; Full-time, year-round workers with earnings - $50,000 to $64,999","Total; Estimate; Full-time, year-round workers with earnings - $65,000 to $74,999","Total; Margin of Error; Full-time, year-round workers with earnings - $65,000 to $74,999","Male; Estimate; Full-time, year-round workers with earnings - $65,000 to $74,999","Male; Margin of Error; Full-time, year-round workers with earnings - $65,000 to $74,999","Female; Estimate; Full-time, year-round workers with earnings - $65,000 to $74,999","Female; Margin of Error; Full-time, year-round workers with earnings - $65,000 to $74,999","Total; Estimate; Full-time, year-round workers with earnings - $75,000 to $99,999","Total; Margin of Error; Full-time, year-round workers with earnings - $75,000 to $99,999","Male; Estimate; Full-time, year-round workers with earnings - $75,000 to $99,999","Male; Margin of Error; Full-time, year-round workers with earnings - $75,000 to $99,999","Female; Estimate; Full-time, year-round workers with earnings - $75,000 to $99,999","Female; Margin of Error; Full-time, year-round workers with earnings - $75,000 to $99,999","Total; Estimate; Full-time, year-round workers with earnings - $100,000 or more","Total; Margin of Error; Full-time, year-round workers with earnings - $100,000 or more","Male; Estimate; Full-time, year-round workers with earnings - $100,000 or more","Male; Margin of Error; Full-time, year-round workers with earnings - $100,000 or more","Female; Estimate; Full-time, year-round workers with earnings - $100,000 or more","Female; Margin of Error; Full-time, year-round workers with earnings - $100,000 or more",Total; Estimate; Median earnings (dollars),Total; Margin of Error; Median earnings (dollars),Male; Estimate; Median earnings (dollars),Male; Margin of Error; Median earnings (dollars),Female; Estimate; Median earnings (dollars),Female; Margin of Error; Median earnings (dollars),Total; Estimate; Mean earnings (dollars),Total; Margin of Error; Mean earnings (dollars),Male; Estimate; Mean earnings (dollars),Male; Margin of Error; Mean earnings (dollars),Female; Estimate; Mean earnings (dollars),Female; Margin of Error; Mean earnings (dollars),Total; Estimate; MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT - Population 25 years and over with earnings,Total; Margin of Error; MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT - Population 25 years and over with earnings,Male; Estimate; MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT - Population 25 years and over with earnings,Male; Margin of Error; MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT - Population 25 years and over with earnings,Female; Estimate; MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT - Population 25 years and over with earnings,Female; Margin of Error; MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT - Population 25 years and over with earnings,Total; Estimate; MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT - Population 25 years and over with earnings - Less than high school graduate,Total; Margin of Error; MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT - Population 25 years and over with earnings - Less than high school graduate,Male; Estimate; MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT - Population 25 years and over with earnings - Less than high school graduate,Male; Margin of Error; MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT - Population 25 years and over with earnings - Less than high school graduate,Female; Estimate; MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT - Population 25 years and over with earnings - Less than high school graduate,Female; Margin of Error; MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT - Population 25 years and over with earnings - Less than high school graduate,Total; Estimate; MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT - Population 25 years and over with earnings - High school graduate (includes equivalency),Total; Margin of Error; MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT - Population 25 years and over with earnings - High school graduate (includes equivalency),Male; Estimate; MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT - Population 25 years and over with earnings - High school graduate (includes equivalency),Male; Margin of Error; MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT - Population 25 years and over with earnings - High school graduate (includes equivalency),Female; Estimate; MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT - Population 25 years and over with earnings - High school graduate (includes equivalency),Female; Margin of Error; MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT - Population 25 years and over with earnings - High school graduate (includes equivalency),Total; Estimate; MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT - Population 25 years and over with earnings - Some college or associate's degree,Total; Margin of Error; MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT - Population 25 years and over with earnings - Some college or associate's degree,Male; Estimate; MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT - Population 25 years and over with earnings - Some college or associate's degree,Male; Margin of Error; MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT - Population 25 years and over with earnings - Some college or associate's degree,Female; Estimate; MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT - Population 25 years and over with earnings - Some college or associate's degree,Female; Margin of Error; MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT - Population 25 years and over with earnings - Some college or associate's degree,Total; Estimate; MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT - Population 25 years and over with earnings - Bachelor's degree,Total; Margin of Error; MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT - Population 25 years and over with earnings - Bachelor's degree,Male; Estimate; MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT - Population 25 years and over with earnings - Bachelor's degree,Male; Margin of Error; MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT - Population 25 years and over with earnings - Bachelor's degree,Female; Estimate; MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT - Population 25 years and over with earnings - Bachelor's degree,Female; Margin of Error; MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT - Population 25 years and over with earnings - Bachelor's degree,Total; Estimate; MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT - Population 25 years and over with earnings - Graduate or professional degree,Total; Margin of Error; MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT - Population 25 years and over with earnings - Graduate or professional degree,Male; Estimate; MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT - Population 25 years and over with earnings - Graduate or professional degree,Male; Margin of Error; MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT - Population 25 years and over with earnings - Graduate or professional degree,Female; Estimate; MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT - Population 25 years and over with earnings - Graduate or professional degree,Female; Margin of Error; MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT - Population 25 years and over with earnings - Graduate or professional degree,Total; Estimate; PERCENT ALLOCATED - Earnings in the past 12 months,Total; Margin of Error; PERCENT ALLOCATED - Earnings in the past 12 months,Male; Estimate; PERCENT ALLOCATED - Earnings in the past 12 months,Male; Margin of Error; PERCENT ALLOCATED - Earnings in the past 12 months,Female; Estimate; PERCENT ALLOCATED - Earnings in the past 12 months,Female; Margin of Error; PERCENT ALLOCATED - Earnings in the past 12 months
1400000US21111000200,21111000200,"Census Tract 2, Jefferson County, Kentucky",1176,205,544,135,632,154,18900,4464,26724,9668,14781,6452,581,151,338,102,243,92,6.4,6.6,4.1,4.7,9.5,14.6,4.3,5.1,7.4,8.7,0.0,11.6,20.8,10.7,8.9,10.9,37.4,20.6,27.4,13.7,28.1,16.8,26.3,17.5,30.1,13.9,40.8,19.1,15.2,14.7,11.0,7.0,10.7,9.1,11.5,11.9,0.0,5.0,0.0,8.5,0.0,11.6,0.0,5.0,0.0,8.5,0.0,11.6,0.0,5.0,0.0,8.5,0.0,11.6,(X),(X),35227,3641,27607,8758,31143,2729,33020,3209,28533,6111,21178,4757,30214,8343,16875,7872,-,**,7000,4054,-,**,28362,4857,30786,5624,22300,10260,12303,7796,-,**,-,**,40250,15857,40650,8340,-,**,-,**,-,**,-,**,24.6,(X),(X),(X),(X),(X)
1400000US21111000300,21111000300,"Census Tract 3, Jefferson County, Kentucky",936,229,407,127,529,171,14898,3806,11480,4343,17230,5464,527,187,154,78,373,161,7.8,7.4,10.4,15.6,6.7,7.9,19.5,11.1,18.8,15.9,19.8,14.7,26.8,11.7,12.3,17.6,32.7,14.1,23.7,11.2,20.8,15.7,24.9,14.9,17.1,9.1,24.0,23.8,14.2,9.7,0.0,5.5,0.0,17.6,0.0,7.7,1.5,3.1,5.2,10.1,0.0,7.7,1.1,2.3,0.0,17.6,1.6,3.1,2.5,3.7,8.4,13.4,0.0,7.7,(X),(X),30521,16670,21122,7316,27530,5924,37079,16139,23587,4697,18259,6188,14883,7674,20449,5514,17083,12146,9492,6922,23173,4491,13042,5932,-,**,12289,9651,19777,19550,-,**,19821,19179,37014,1585,-,**,-,**,-,**,-,**,-,**,24.8,(X),(X),(X),(X),(X)
1400000US21111000400,21111000400,"Census Tract 4, Jefferson County, Kentucky",2017,255,808,163,1209,176,22878,2906,24239,3645,21765,3348,1146,205,482,125,664,150,1.5,1.8,0.0,6.0,2.6,3.0,0.9,1.3,2.1,3.0,0.0,4.4,24.1,8.7,25.1,13.3,23.3,11.2,28.4,7.9,22.4,10.1,32.8,11.6,17.5,7.5,19.5,13.5,16.1,9.2,14.0,6.8,11.6,8.3,15.7,10.4,4.2,4.2,4.1,4.8,4.2,6.1,3.1,3.7,5.6,8.1,1.2,1.9,6.4,6.9,9.5,8.6,4.1,5.8,(X),(X),35238,10612,30731,4349,42095,6433,46111,9115,39181,5702,24612,3043,25984,4268,23396,4455,25850,22829,-,**,-,**,21314,3925,23611,2957,19037,2045,22348,6832,31250,27516,21858,4703,53385,11145,84167,53787,50368,23481,-,**,-,**,-,**,22.0,(X),(X),(X),(X),(X)
1400000US21111000600,21111000600,"Census Tract 6, Jefferson County, Kentucky",722,109,252,64,470,90,19375,5079,20000,7519,18500,7858,431,78,161,64,270,61,1.6,2.2,0.0,16.9,2.6,3.6,10.7,8.5,13.0,14.1,9.3,7.6,31.6,10.5,42.9,18.8,24.8,10.8,23.2,8.8,14.9,12.7,28.1,12.7,18.6,8.6,3.7,5.3,27.4,11.8,9.5,6.8,18.6,12.8,4.1,5.7,1.6,2.2,0.0,16.9,2.6,3.4,2.6,3.9,6.8,11.0,0.0,10.5,0.7,1.8,0.0,16.9,1.1,2.7,(X),(X),23304,5427,28750,5916,31145,3594,33056,7042,30006,4530,21453,3572,20513,4980,23854,6174,9419,3542,9954,4666,8516,8464,26719,4859,29231,5516,25781,8045,21955,2646,20897,3582,25694,5360,-,**,-,**,-,**,-,**,-,**,-,**,28.6,(X),(X),(X),(X),(X)
1400000US21111000700,21111000700,"Census Tract 7, Jefferson County, Kentucky",1269,227,493,139,776,157,16552,3996,14899,8398,17339,3737,723,171,257,88,466,128,4.4,5.7,7.4,9.7,2.8,3.7,7.9,7.7,3.1,5.6,10.5,11.9,25.4,12.6,14.4,12.4,31.5,16.8,25.6,10.8,30.4,17.2,23.0,13.5,18.4,8.1,31.9,18.7,10.9,8.0,14.5,10.8,9.3,13.2,17.4,15.7,2.4,2.6,3.5,5.6,1.7,3.0,1.4,2.2,0.0,11.0,2.1,3.4,0.0,4.1,0.0,11.0,0.0,6.2,(X),(X),31477,13735,28382,12120,32540,5382,33948,6388,31764,6631,19235,5606,25197,18447,19125,2702,29091,26868,-,**,-,**,18661,9849,-,**,18214,4868,17873,6534,15673,12079,18418,6627,51743,16651,-,**,51447,18386,-,**,-,**,-,**,25.4,(X),(X),(X),(X),(X)
1400000US21111000800,21111000800,"Census Tract 8, Jefferson County, Kentucky",1102,171,387,103,715,141,20972,8438,-,**,25193,9012,549,130,129,64,420,109,1.5,2.6,0.0,20.6,1.9,3.4,4.2,4.5,5.4,8.9,3.8,5.5,13.3,8.7,0.0,20.6,17.4,10.5,28.6,12.2,11.6,17.8,33.8,14.1,34.6,10.3,56.6,24.0,27.9,13.4,6.4,3.7,11.6,10.1,4.8,3.8,4.6,3.5,3.1,6.5,5.0,3.9,6.9,5.7,11.6,17.6,5.5,5.5,0.0,5.3,0.0,20.6,0.0,6.9,(X),(X),45391,5219,31667,7096,37960,4462,46564,7395,35318,4930,26890,4402,-,**,27440,3718,22344,15739,-,**,28500,10047,17326,9316,15982,14711,25049,14553,38158,8321,39375,30700,37930,10634,-,**,-,**,-,**,54554,13858,-,**,54018,23311,15.3,(X),(X),(X),(X),(X)
1400000US21111000900,21111000900,"Census Tract 9, Jefferson County, Kentucky",775,187,385,119,390,135,24149,3251,27750,6859,-,**,508,173,267,100,241,123,1.2,1.7,0.0,10.6,2.5,3.9,16.9,10.5,10.5,10.3,24.1,20.1,16.7,8.9,14.2,12.0,19.5,13.5,33.3,12.7,30.0,18.8,36.9,19.4,9.8,7.4,18.7,15.3,0.0,11.7,15.0,8.4,15.4,9.9,14.5,13.6,4.9,7.5,9.4,13.0,0.0,11.7,1.2,1.8,0.0,10.6,2.5,3.9,1.0,1.6,1.9,3.1,0.0,11.7,(X),(X),32245,6074,25495,2418,34467,4951,39670,6223,28702,6814,25426,3915,30741,3592,13611,9611,-,**,-,**,-,**,24412,12125,30362,5128,11797,9498,25000,10663,-,**,25052,19446,-,**,70200,69122,11071,6766,-,**,-,**,60461,46197,29.4,(X),(X),(X),(X),(X)
1400000US21111001000,21111001000,"Census Tract 10, Jefferson County, Kentucky",1155,252,468,155,687,161,17535,6706,20833,10005,-,**,634,161,297,97,337,113,8.2,8.8,3.7,6.1,12.2,15.7,10.4,9.7,18.9,19.8,3.0,4.6,17.2,11.3,16.2,15.0,18.1,14.2,36.6,12.2,29.3,22.4,43.0,23.2,16.2,10.6,26.3,20.6,7.4,5.9,8.7,7.6,0.0,9.6,16.3,14.6,2.7,3.6,5.7,7.7,0.0,8.5,0.0,4.6,0.0,9.6,0.0,8.5,0.0,4.6,0.0,9.6,0.0,8.5,(X),(X),28803,8817,30181,3115,30222,4342,30764,6994,29745,5211,20609,5533,22222,12472,18542,13011,11393,6090,-,**,10786,6568,20363,13080,28059,13566,11793,9174,17500,5267,16635,5807,18750,15659,31467,3623,-,**,31957,3402,41292,14533,-,**,-,**,29.4,(X),(X),(X),(X),(X)
1400000US21111001100,21111001100,"Census Tract 11, Jefferson County, Kentucky",1314,240,548,172,766,187,28018,4334,26250,12572,28302,3876,784,169,323,116,461,130,1.7,2.5,0.0,8.9,2.8,4.3,6.5,4.5,2.5,3.6,9.3,7.5,13.6,6.1,16.1,12.0,11.9,7.3,12.4,8.1,13.0,11.0,11.9,10.0,22.6,11.0,13.6,13.7,28.9,14.6,13.8,8.5,18.6,15.3,10.4,9.0,13.0,8.5,18.6,16.1,9.1,9.7,7.0,5.2,9.9,10.6,5.0,5.3,9.4,8.9,7.7,10.1,10.6,10.4,(X),(X),55913,17165,40680,4503,49008,7525,53315,9497,45991,8832,29360,6258,28707,18054,29717,8234,-,**,-,**,-,**,22679,7523,22250,9150,25195,11800,28393,26107,-,**,36250,23079,51167,33625,61818,49106,-,**,64545,21267,29722,20160,67845,9410,30.0,(X),(X),(X),(X),(X)
