GEO.id,GEO.id2,GEO.display-label,NAICS.id,NAICS.display-label,YEAR.id,ESTAB,EMP,EMP_N,PAYQTR1,PAYQTR1_N,PAYANN,PAYANN_N
Geographic identifier code,Id2,Geographic area name,2007 NAICS code,Meaning of 2007 NAICS code,Year,Number of establishments,Paid employees for pay period including March 12 (number),Noise range for paid employees for pay period including March 12 (%),"First-quarter payroll ($1,000)",Noise range for first-quarter payroll (%),"Annual payroll ($1,000)",Noise range for annual payroll (%)
8610000US40003,40003,"ZIP 40003 (Bagdad, KY)",00,Total for all sectors,2008,25,192,G,1047,G,4238,G
8610000US40004,40004,"ZIP 40004 (Bardstown, KY)",00,Total for all sectors,2008,718,11117,G,85468,G,359245,G
8610000US40006,40006,"ZIP 40006 (Bedford, KY)",00,Total for all sectors,2008,50,455,G,4855,G,17642,G
8610000US40007,40007,"ZIP 40007 (Bethlehem, KY)",00,Total for all sectors,2008,5,e,D,D,D,D,D
8610000US40008,40008,"ZIP 40008 (Bloomfield, KY)",00,Total for all sectors,2008,52,239,H,1293,G,5686,G
8610000US40009,40009,"ZIP 40009 (Bradfordsville, KY)",00,Total for all sectors,2008,4,6,G,41,G,172,G
8610000US40010,40010,"ZIP 40010 (Buckner, KY)",00,Total for all sectors,2008,57,1198,G,10440,G,46336,G
8610000US40011,40011,"ZIP 40011 (Campbellsburg, KY)",00,Total for all sectors,2008,27,229,H,1264,G,4869,G
8610000US40012,40012,"ZIP 40012 (Chaplin, KY)",00,Total for all sectors,2008,10,b,S,207,G,784,G
8610000US40013,40013,"ZIP 40013 (Coxs Creek, KY)",00,Total for all sectors,2008,59,341,H,2296,H,10181,H
8610000US40014,40014,"ZIP 40014 (Crestwood, KY)",00,Total for all sectors,2008,461,2334,G,14195,G,64183,G
8610000US40018,40018,"ZIP 40018 (Eastwood, KY)",00,Total for all sectors,2008,4,a,D,D,D,D,D
8610000US40019,40019,"ZIP 40019 (Eminence, KY)",00,Total for all sectors,2008,70,1020,H,7569,H,30147,H
8610000US40020,40020,"ZIP 40020 (Fairfield, KY)",00,Total for all sectors,2008,3,a,D,D,D,D,D
8610000US40022,40022,"ZIP 40022 (Finchville, KY)",00,Total for all sectors,2008,20,88,G,444,G,2630,G
8610000US40023,40023,"ZIP 40023 (Fisherville, KY)",00,Total for all sectors,2008,72,331,G,1643,G,6810,G
8610000US40025,40025,"ZIP 40025 (Glenview, KY)",00,Total for all sectors,2008,5,12,G,116,G,564,G
8610000US40026,40026,"ZIP 40026 (Goshen, KY)",00,Total for all sectors,2008,75,270,H,1625,H,8145,G
8610000US40027,40027,"ZIP 40027 (Harrods Creek, KY)",00,Total for all sectors,2008,10,b,D,D,D,D,D
8610000US40031,40031,"ZIP 40031 (La Grange, KY)",00,Total for all sectors,2008,460,5762,G,42764,G,177487,G
8610000US40032,40032,"ZIP 40032 (La Grange, KY)",00,Total for all sectors,2008,2,b,D,D,D,D,D
8610000US40033,40033,"ZIP 40033 (Lebanon, KY)",00,Total for all sectors,2008,305,6547,H,46674,H,186657,H
8610000US40036,40036,"ZIP 40036 (Lockport, KY)",00,Total for all sectors,2008,2,b,D,D,D,D,D
8610000US40037,40037,"ZIP 40037 (Loretto, KY)",00,Total for all sectors,2008,25,c,D,D,D,D,D
8610000US40040,40040,"ZIP 40040 (Mackville, KY)",00,Total for all sectors,2008,9,a,S,78,G,329,G
8610000US40041,40041,"ZIP 40041 (Masonic Home, KY)",00,Total for all sectors,2008,3,c,D,D,D,D,D
8610000US40045,40045,"ZIP 40045 (Milton, KY)",00,Total for all sectors,2008,27,137,H,894,G,3861,G
8610000US40046,40046,"ZIP 40046 (Mount Eden, KY)",00,Total for all sectors,2008,15,42,G,196,G,841,G
8610000US40047,40047,"ZIP 40047 (Mount Washington, KY)",00,Total for all sectors,2008,242,1950,G,9803,G,40658,G
8610000US40048,40048,"ZIP 40048 (Nazareth, KY)",00,Total for all sectors,2008,4,c,D,D,D,D,D
