MSA,FIPS
13820,1007
13820,1009
13820,1021
13820,1073
13820,1115
13820,1117
13820,1127
16740,37007
16740,37025
16740,37071
16740,37119
16740,37179
16740,45091
17140,18029
17140,18047
17140,18115
17140,21015
17140,21023
17140,21037
17140,21077
17140,21081
17140,21117
17140,21191
17140,39015
17140,39017
17140,39025
17140,39061
17140,39165
18140,39041
18140,39045
18140,39049
18140,39089
18140,39097
18140,39117
18140,39129
18140,39159
19380,39057
19380,39109
19380,39113
19380,39135
24340,26015
24340,26067
24340,26081
24340,26123
24660,37081
24660,37151
24660,37157
24860,45045
24860,45059
24860,45077
26900,18011
26900,18013
26900,18057
26900,18059
26900,18063
26900,18081
26900,18097
26900,18109
26900,18133
26900,18145
27260,12003
27260,12019
27260,12031
27260,12089
27260,12109
28140,20059
28140,20091
28140,20103
28140,20107
28140,20121
28140,20209
28140,29013
28140,29025
28140,29037
28140,29047
28140,29049
28140,29095
28140,29107
28140,29165
28140,29177
28940,47001
28940,47009
28940,47093
28940,47105
28940,47173
31140,18019
31140,18043
31140,18061
31140,18175
31140,21029
31140,21103
31140,21111
31140,21163
31140,21179
31140,21185
31140,21211
31140,21215
31140,21223
32820,5035
32820,28033
32820,28093
32820,28137
32820,28143
32820,47047
32820,47157
32820,47167
34980,47015
34980,47021
34980,47037
34980,47043
34980,47081
34980,47111
34980,47147
34980,47149
34980,47159
34980,47165
34980,47169
34980,47187
34980,47189
36420,40017
36420,40027
36420,40051
36420,40081
36420,40083
36420,40087
36420,40109
36540,19085
36540,19129
36540,19155
36540,31025
36540,31055
36540,31153
36540,31155
36540,31177
39580,37069
39580,37101
39580,37183
40060,51007
40060,51033
40060,51036
40060,51041
40060,51049
40060,51053
40060,51075
40060,51085
40060,51087
40060,51097
40060,51101
40060,51109
40060,51127
40060,51145
40060,51149
40060,51183
40060,51570
40060,51670
40060,51730
40060,51760
41180,17005
41180,17013
41180,17027
41180,17083
41180,17117
41180,17119
41180,17133
41180,17163
41180,29071
41180,29099
41180,29113
41180,29183
41180,29189
41180,29219
41180,29221
41180,29510
46140,40037
46140,40111
46140,40113
46140,40117
46140,40131
46140,40143
46140,40145
16740,37025
16740,37071
16740,37097
16740,37109
16740,37119
16740,37159
16740,37179
16740,45023
16740,45057
16740,45091
17140,18029
17140,18115
17140,18161
17140,21015
17140,21023
17140,21037
17140,21077
17140,21081
17140,21117
17140,21191
17140,39015
17140,39017
17140,39025
17140,39061
17140,39165
18140,39041
18140,39045
18140,39049
18140,39073
18140,39089
18140,39097
18140,39117
18140,39127
18140,39129
18140,39159
19380,39057
19380,39109
19380,39113
24340,26015
24340,26081
24340,26117
24340,26139
24860,45007
24860,45045
24860,45059
24860,45077
26900,18011
26900,18013
26900,18057
26900,18059
26900,18063
26900,18081
26900,18095
26900,18097
26900,18109
26900,18133
26900,18145
28140,20091
28140,20103
28140,20107
28140,20121
28140,20209
28140,29013
28140,29025
28140,29037
28140,29047
28140,29049
28140,29095
28140,29107
28140,29165
28140,29177
28940,47001
28940,47009
28940,47013
28940,47057
28940,47093
28940,47105
28940,47129
28940,47145
28940,47173
31140,18019
31140,18043
31140,18061
31140,18143
31140,18175
31140,21029
31140,21103
31140,21111
31140,21185
31140,21211
31140,21215
31140,21223
32820,5035
32820,28009
32820,28033
32820,28093
32820,28137
32820,28143
32820,47047
32820,47157
32820,47167
34980,47015
34980,47021
34980,47037
34980,47043
34980,47081
34980,47111
34980,47119
34980,47147
34980,47149
34980,47159
34980,47165
34980,47169
34980,47187
34980,47189
40060,51007
40060,51033
40060,51036
40060,51041
40060,51053
40060,51075
40060,51085
40060,51087
40060,51101
40060,51127
40060,51145
40060,51149
40060,51183
40060,51570
40060,51670
40060,51730
40060,51760
41180,17005
41180,17013
41180,17027
41180,17083
41180,17117
41180,17119
41180,17133
41180,17163
41180,29071
41180,29099
41180,29113
41180,29183
41180,29189
41180,29219
41180,29510
