GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - Owner occupied,Margin of Error; Total: - Owner occupied,Estimate; Total: - Renter occupied,Margin of Error; Total: - Renter occupied
1400000US21111000200,21111000200,"Census Tract 2, Jefferson County, Kentucky",929,96,350,100,579,118
1400000US21111000300,21111000300,"Census Tract 3, Jefferson County, Kentucky",942,78,402,79,540,99
1400000US21111000400,21111000400,"Census Tract 4, Jefferson County, Kentucky",1897,102,1073,99,824,127
1400000US21111000600,21111000600,"Census Tract 6, Jefferson County, Kentucky",679,70,193,46,486,77
1400000US21111000700,21111000700,"Census Tract 7, Jefferson County, Kentucky",1102,96,445,94,657,109
1400000US21111000800,21111000800,"Census Tract 8, Jefferson County, Kentucky",759,71,447,68,312,70
1400000US21111000900,21111000900,"Census Tract 9, Jefferson County, Kentucky",838,72,353,74,485,89
1400000US21111001000,21111001000,"Census Tract 10, Jefferson County, Kentucky",974,100,454,77,520,105
1400000US21111001100,21111001100,"Census Tract 11, Jefferson County, Kentucky",1308,143,786,129,522,133
1400000US21111001200,21111001200,"Census Tract 12, Jefferson County, Kentucky",1213,107,613,98,600,122
1400000US21111001400,21111001400,"Census Tract 14, Jefferson County, Kentucky",1067,82,375,82,692,84
1400000US21111001500,21111001500,"Census Tract 15, Jefferson County, Kentucky",1205,126,546,110,659,152
1400000US21111001600,21111001600,"Census Tract 16, Jefferson County, Kentucky",874,82,452,76,422,99
1400000US21111001700,21111001700,"Census Tract 17, Jefferson County, Kentucky",810,83,365,65,445,97
1400000US21111001800,21111001800,"Census Tract 18, Jefferson County, Kentucky",606,62,162,39,444,71
1400000US21111002100,21111002100,"Census Tract 21, Jefferson County, Kentucky",804,83,260,58,544,88
1400000US21111002300,21111002300,"Census Tract 23, Jefferson County, Kentucky",907,80,241,51,666,94
1400000US21111002400,21111002400,"Census Tract 24, Jefferson County, Kentucky",2137,196,487,142,1650,236
1400000US21111002700,21111002700,"Census Tract 27, Jefferson County, Kentucky",1056,145,184,82,872,149
1400000US21111002800,21111002800,"Census Tract 28, Jefferson County, Kentucky",756,61,284,57,472,76
