GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21,HD01_VD22,HD02_VD22,HD01_VD23,HD02_VD23,HD01_VD24,HD02_VD24,HD01_VD25,HD02_VD25,HD01_VD26,HD02_VD26,HD01_VD27,HD02_VD27,HD01_VD28,HD02_VD28,HD01_VD29,HD02_VD29,HD01_VD30,HD02_VD30,HD01_VD31,HD02_VD31,HD01_VD32,HD02_VD32,HD01_VD33,HD02_VD33,HD01_VD34,HD02_VD34,HD01_VD35,HD02_VD35,HD01_VD36,HD02_VD36,HD01_VD37,HD02_VD37,HD01_VD38,HD02_VD38,HD01_VD39,HD02_VD39,HD01_VD40,HD02_VD40,HD01_VD41,HD02_VD41,HD01_VD42,HD02_VD42,HD01_VD43,HD02_VD43,HD01_VD44,HD02_VD44,HD01_VD45,HD02_VD45,HD01_VD46,HD02_VD46
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Owner-occupied housing units:,Margin of Error; Owner-occupied housing units:,"Estimate; Owner-occupied housing units: - Less than $20,000:","Margin of Error; Owner-occupied housing units: - Less than $20,000:","Estimate; Owner-occupied housing units: - Less than $20,000: - Less than 20 percent","Margin of Error; Owner-occupied housing units: - Less than $20,000: - Less than 20 percent","Estimate; Owner-occupied housing units: - Less than $20,000: - 20 to 29 percent","Margin of Error; Owner-occupied housing units: - Less than $20,000: - 20 to 29 percent","Estimate; Owner-occupied housing units: - Less than $20,000: - 30 percent or more","Margin of Error; Owner-occupied housing units: - Less than $20,000: - 30 percent or more","Estimate; Owner-occupied housing units: - $20,000 to $34,999:","Margin of Error; Owner-occupied housing units: - $20,000 to $34,999:","Estimate; Owner-occupied housing units: - $20,000 to $34,999: - Less than 20 percent","Margin of Error; Owner-occupied housing units: - $20,000 to $34,999: - Less than 20 percent","Estimate; Owner-occupied housing units: - $20,000 to $34,999: - 20 to 29 percent","Margin of Error; Owner-occupied housing units: - $20,000 to $34,999: - 20 to 29 percent","Estimate; Owner-occupied housing units: - $20,000 to $34,999: - 30 percent or more","Margin of Error; Owner-occupied housing units: - $20,000 to $34,999: - 30 percent or more","Estimate; Owner-occupied housing units: - $35,000 to $49,999:","Margin of Error; Owner-occupied housing units: - $35,000 to $49,999:","Estimate; Owner-occupied housing units: - $35,000 to $49,999: - Less than 20 percent","Margin of Error; Owner-occupied housing units: - $35,000 to $49,999: - Less than 20 percent","Estimate; Owner-occupied housing units: - $35,000 to $49,999: - 20 to 29 percent","Margin of Error; Owner-occupied housing units: - $35,000 to $49,999: - 20 to 29 percent","Estimate; Owner-occupied housing units: - $35,000 to $49,999: - 30 percent or more","Margin of Error; Owner-occupied housing units: - $35,000 to $49,999: - 30 percent or more","Estimate; Owner-occupied housing units: - $50,000 to $74,999:","Margin of Error; Owner-occupied housing units: - $50,000 to $74,999:","Estimate; Owner-occupied housing units: - $50,000 to $74,999: - Less than 20 percent","Margin of Error; Owner-occupied housing units: - $50,000 to $74,999: - Less than 20 percent","Estimate; Owner-occupied housing units: - $50,000 to $74,999: - 20 to 29 percent","Margin of Error; Owner-occupied housing units: - $50,000 to $74,999: - 20 to 29 percent","Estimate; Owner-occupied housing units: - $50,000 to $74,999: - 30 percent or more","Margin of Error; Owner-occupied housing units: - $50,000 to $74,999: - 30 percent or more","Estimate; Owner-occupied housing units: - $75,000 or more:","Margin of Error; Owner-occupied housing units: - $75,000 or more:","Estimate; Owner-occupied housing units: - $75,000 or more: - Less than 20 percent","Margin of Error; Owner-occupied housing units: - $75,000 or more: - Less than 20 percent","Estimate; Owner-occupied housing units: - $75,000 or more: - 20 to 29 percent","Margin of Error; Owner-occupied housing units: - $75,000 or more: - 20 to 29 percent","Estimate; Owner-occupied housing units: - $75,000 or more: - 30 percent or more","Margin of Error; Owner-occupied housing units: - $75,000 or more: - 30 percent or more",Estimate; Owner-occupied housing units: - Zero or negative income,Margin of Error; Owner-occupied housing units: - Zero or negative income,Estimate; Renter-occupied housing units:,Margin of Error; Renter-occupied housing units:,"Estimate; Renter-occupied housing units: - Less than $20,000:","Margin of Error; Renter-occupied housing units: - Less than $20,000:","Estimate; Renter-occupied housing units: - Less than $20,000: - Less than 20 percent","Margin of Error; Renter-occupied housing units: - Less than $20,000: - Less than 20 percent","Estimate; Renter-occupied housing units: - Less than $20,000: - 20 to 29 percent","Margin of Error; Renter-occupied housing units: - Less than $20,000: - 20 to 29 percent","Estimate; Renter-occupied housing units: - Less than $20,000: - 30 percent or more","Margin of Error; Renter-occupied housing units: - Less than $20,000: - 30 percent or more","Estimate; Renter-occupied housing units: - $20,000 to $34,999:","Margin of Error; Renter-occupied housing units: - $20,000 to $34,999:","Estimate; Renter-occupied housing units: - $20,000 to $34,999: - Less than 20 percent","Margin of Error; Renter-occupied housing units: - $20,000 to $34,999: - Less than 20 percent","Estimate; Renter-occupied housing units: - $20,000 to $34,999: - 20 to 29 percent","Margin of Error; Renter-occupied housing units: - $20,000 to $34,999: - 20 to 29 percent","Estimate; Renter-occupied housing units: - $20,000 to $34,999: - 30 percent or more","Margin of Error; Renter-occupied housing units: - $20,000 to $34,999: - 30 percent or more","Estimate; Renter-occupied housing units: - $35,000 to $49,999:","Margin of Error; Renter-occupied housing units: - $35,000 to $49,999:","Estimate; Renter-occupied housing units: - $35,000 to $49,999: - Less than 20 percent","Margin of Error; Renter-occupied housing units: - $35,000 to $49,999: - Less than 20 percent","Estimate; Renter-occupied housing units: - $35,000 to $49,999: - 20 to 29 percent","Margin of Error; Renter-occupied housing units: - $35,000 to $49,999: - 20 to 29 percent","Estimate; Renter-occupied housing units: - $35,000 to $49,999: - 30 percent or more","Margin of Error; Renter-occupied housing units: - $35,000 to $49,999: - 30 percent or more","Estimate; Renter-occupied housing units: - $50,000 to $74,999:","Margin of Error; Renter-occupied housing units: - $50,000 to $74,999:","Estimate; Renter-occupied housing units: - $50,000 to $74,999: - Less than 20 percent","Margin of Error; Renter-occupied housing units: - $50,000 to $74,999: - Less than 20 percent","Estimate; Renter-occupied housing units: - $50,000 to $74,999: - 20 to 29 percent","Margin of Error; Renter-occupied housing units: - $50,000 to $74,999: - 20 to 29 percent","Estimate; Renter-occupied housing units: - $50,000 to $74,999: - 30 percent or more","Margin of Error; Renter-occupied housing units: - $50,000 to $74,999: - 30 percent or more","Estimate; Renter-occupied housing units: - $75,000 or more:","Margin of Error; Renter-occupied housing units: - $75,000 or more:","Estimate; Renter-occupied housing units: - $75,000 or more: - Less than 20 percent","Margin of Error; Renter-occupied housing units: - $75,000 or more: - Less than 20 percent","Estimate; Renter-occupied housing units: - $75,000 or more: - 20 to 29 percent","Margin of Error; Renter-occupied housing units: - $75,000 or more: - 20 to 29 percent","Estimate; Renter-occupied housing units: - $75,000 or more: - 30 percent or more","Margin of Error; Renter-occupied housing units: - $75,000 or more: - 30 percent or more",Estimate; Renter-occupied housing units: - Zero or negative income,Margin of Error; Renter-occupied housing units: - Zero or negative income,Estimate; Renter-occupied housing units: - No cash rent,Margin of Error; Renter-occupied housing units: - No cash rent
1400000US21111000200,21111000200,"Census Tract 2, Jefferson County, Kentucky",929,96,350,100,60,40,7,11,35,29,18,26,115,69,68,55,32,41,15,18,41,30,23,20,14,18,4,8,99,61,82,54,17,26,0,11,35,28,35,28,0,11,0,11,0,11,579,118,244,97,0,11,23,38,221,93,150,84,57,53,6,11,87,63,69,63,18,28,51,57,0,11,98,68,80,63,18,27,0,11,0,11,0,11,0,11,0,11,0,11,18,18
1400000US21111000300,21111000300,"Census Tract 3, Jefferson County, Kentucky",942,78,402,79,113,70,8,12,15,17,90,67,139,56,67,44,19,25,53,38,82,50,34,27,27,27,21,29,25,24,25,24,0,11,0,11,33,25,33,25,0,11,0,11,10,13,540,99,205,77,0,11,22,34,183,78,111,63,0,11,13,20,98,60,134,79,41,45,82,68,11,19,0,11,0,11,0,11,0,11,13,18,13,18,0,11,0,11,11,18,66,43
1400000US21111000400,21111000400,"Census Tract 4, Jefferson County, Kentucky",1897,102,1073,99,189,68,7,11,15,17,167,64,212,79,47,30,41,36,124,59,205,74,140,60,21,26,44,27,233,83,154,77,29,18,50,43,221,73,195,67,26,26,0,16,13,15,824,127,397,95,7,12,90,56,300,97,199,82,7,12,50,36,142,76,65,46,4,8,26,25,35,37,89,53,28,23,61,50,0,16,15,16,15,16,0,16,0,16,27,34,32,29
1400000US21111000600,21111000600,"Census Tract 6, Jefferson County, Kentucky",679,70,193,46,35,20,0,11,5,7,30,20,49,28,23,16,8,13,18,18,48,30,27,22,21,21,0,11,26,22,21,21,5,8,0,11,31,21,31,21,0,11,0,11,4,6,486,77,179,59,0,11,0,11,179,59,144,46,11,17,40,24,93,45,75,41,18,23,41,25,16,19,38,31,16,17,22,24,0,11,19,19,19,19,0,11,0,11,31,26,0,11
1400000US21111000700,21111000700,"Census Tract 7, Jefferson County, Kentucky",1102,96,445,94,130,61,0,11,17,19,113,61,92,48,17,19,35,29,40,30,60,43,27,31,11,17,22,25,70,39,54,39,16,24,0,11,93,58,93,58,0,11,0,11,0,11,657,109,312,106,21,23,36,44,255,98,72,38,0,11,11,16,61,35,103,49,24,18,66,44,13,17,71,58,71,58,0,11,0,11,10,15,10,15,0,11,0,11,47,35,42,51
1400000US21111000800,21111000800,"Census Tract 8, Jefferson County, Kentucky",759,71,447,68,97,50,5,8,13,14,79,47,90,38,32,19,23,17,35,29,59,32,15,13,22,26,22,16,71,34,34,18,23,25,14,14,130,45,125,45,5,8,0,11,0,11,312,70,98,52,0,11,0,11,98,52,64,45,0,11,31,36,33,27,75,41,17,18,29,26,29,31,50,43,44,41,6,10,0,11,19,23,19,23,0,11,0,11,0,11,6,9
1400000US21111000900,21111000900,"Census Tract 9, Jefferson County, Kentucky",838,72,353,74,84,37,0,11,10,12,74,36,78,43,33,33,5,7,40,27,95,45,46,31,20,15,29,32,36,25,21,17,10,13,5,9,60,38,60,38,0,11,0,11,0,11,485,89,246,77,21,26,35,26,190,70,70,46,40,38,11,11,19,30,6,11,0,11,6,11,0,11,11,13,6,9,5,10,0,11,73,44,67,46,0,11,6,9,30,30,49,42
1400000US21111001000,21111001000,"Census Tract 10, Jefferson County, Kentucky",974,100,454,77,68,44,9,15,9,13,50,38,135,69,50,45,24,23,61,42,91,52,55,45,27,24,9,14,94,50,85,49,9,14,0,11,66,52,66,52,0,11,0,11,0,11,520,105,313,117,55,61,0,11,258,105,94,75,23,34,27,41,44,43,0,11,0,11,0,11,0,11,31,37,22,34,9,14,0,11,47,50,47,50,0,11,0,11,26,42,9,14
1400000US21111001100,21111001100,"Census Tract 11, Jefferson County, Kentucky",1308,143,786,129,166,72,32,29,50,47,84,47,92,50,24,19,20,31,48,38,162,83,73,56,47,25,42,48,127,72,83,47,44,52,0,11,239,87,239,87,0,11,0,11,0,11,522,133,169,77,0,11,33,42,136,73,91,64,0,11,47,49,44,38,52,37,3,6,49,37,0,11,88,65,88,65,0,11,0,11,36,50,36,50,0,11,0,11,61,50,25,22
