GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Owner occupied,Margin of Error; Owner occupied,Estimate; Renter occupied,Margin of Error; Renter occupied
0500000US01003,01003,"Baldwin County, Alabama",70427,2608,52418,2703,18009,2762
0500000US01015,01015,"Calhoun County, Alabama",46503,1424,33457,1763,13046,1579
0500000US01043,01043,"Cullman County, Alabama",30953,1300,20712,1598,10241,1422
0500000US01049,01049,"DeKalb County, Alabama",24321,1056,18727,1350,5594,1123
0500000US01051,01051,"Elmore County, Alabama",25334,1016,20639,991,4695,863
0500000US01055,01055,"Etowah County, Alabama",43335,1402,31446,1522,11889,1603
0500000US01069,01069,"Houston County, Alabama",36076,823,25148,832,10928,884
0500000US01073,01073,"Jefferson County, Alabama",263698,3683,180978,4055,82720,4262
0500000US01077,01077,"Lauderdale County, Alabama",35704,1331,26684,1473,9020,1282
0500000US01081,01081,"Lee County, Alabama",52223,1201,33816,1500,18407,1398
0500000US01083,01083,"Limestone County, Alabama",26271,708,19476,1098,6795,1016
0500000US01089,01089,"Madison County, Alabama",121955,1949,87783,2488,34172,2098
0500000US01095,01095,"Marshall County, Alabama",32397,1434,24827,1468,7570,1300
0500000US01097,01097,"Mobile County, Alabama",149552,2854,104726,3313,44826,2896
0500000US01101,01101,"Montgomery County, Alabama",89542,2265,56763,2149,32779,2215
0500000US01103,01103,"Morgan County, Alabama",45987,1160,34651,1568,11336,1586
0500000US01115,01115,"St. Clair County, Alabama",23585,1848,20399,1908,3186,934
0500000US01117,01117,"Shelby County, Alabama",69112,1189,56023,2095,13089,1853
0500000US01121,01121,"Talladega County, Alabama",29343,1603,22516,1444,6827,1371
0500000US01125,01125,"Tuscaloosa County, Alabama",70117,1728,43647,1890,26470,1941
0500000US01127,01127,"Walker County, Alabama",28192,1149,22168,1289,6024,1024
0500000US02020,02020,"Anchorage Municipality, Alaska",102282,1569,62503,2504,39779,2385
0500000US02090,02090,"Fairbanks North Star Borough, Alaska",27986,1148,17137,1262,10849,1413
0500000US02170,02170,"Matanuska-Susitna Borough, Alaska",21610,695,17239,822,4371,657
0500000US04001,04001,"Apache County, Arizona",19118,1313,15335,1237,3783,728
0500000US04003,04003,"Cochise County, Arizona",48718,1832,34226,1932,14492,1774
0500000US04005,04005,"Coconino County, Arizona",43189,1786,26154,1896,17035,1785
0500000US04013,04013,"Maricopa County, Arizona",1322104,8389,898278,9379,423826,8966
0500000US04015,04015,"Mohave County, Arizona",76249,2545,51475,2491,24774,2285
0500000US04017,04017,"Navajo County, Arizona",34375,1828,23596,1876,10779,1521
0500000US04019,04019,"Pima County, Arizona",371370,3853,244915,4972,126455,4693
0500000US04021,04021,"Pinal County, Arizona",105004,2534,81036,2821,23968,2801
0500000US04025,04025,"Yavapai County, Arizona",85244,2222,61239,2521,24005,2407
0500000US04027,04027,"Yuma County, Arizona",69922,2009,49630,2105,20292,2135
0500000US05007,05007,"Benton County, Arkansas",74313,1441,53712,2095,20601,1765
0500000US05031,05031,"Craighead County, Arkansas",33206,1203,22015,1383,11191,1288
0500000US05045,05045,"Faulkner County, Arkansas",39351,735,26824,1156,12527,1222
0500000US05051,05051,"Garland County, Arkansas",38005,1600,26739,1413,11266,1431
0500000US05069,05069,"Jefferson County, Arkansas",30130,1321,19531,1462,10599,1459
0500000US05119,05119,"Pulaski County, Arkansas",155546,2203,95520,2988,60026,3531
0500000US05125,05125,"Saline County, Arkansas",35924,1117,28134,1469,7790,1350
0500000US05131,05131,"Sebastian County, Arkansas",46539,1477,29474,1469,17065,1534
0500000US05143,05143,"Washington County, Arkansas",73257,1553,41187,1762,32070,2253
0500000US05145,05145,"White County, Arkansas",27454,1038,19691,1163,7763,1378
0500000US06001,06001,"Alameda County, California",517241,4016,296733,4773,220508,5219
0500000US06007,06007,"Butte County, California",85513,1618,51211,1957,34302,2043
0500000US06013,06013,"Contra Costa County, California",359371,3514,258877,4662,100494,4660
0500000US06017,06017,"El Dorado County, California",63235,2065,49224,1868,14011,1784
0500000US06019,06019,"Fresno County, California",277256,2452,152363,3959,124893,3820
0500000US06023,06023,"Humboldt County, California",52660,1383,28751,1568,23909,1734
0500000US06025,06025,"Imperial County, California",45204,1450,27196,2081,18008,2069
0500000US06029,06029,"Kern County, California",238229,2657,147483,4000,90746,3920
0500000US06031,06031,"Kings County, California",39702,730,22372,1540,17330,1614
0500000US06033,06033,"Lake County, California",25212,1861,16167,1927,9045,1435
0500000US06037,06037,"Los Angeles County, California",3172032,6982,1564640,11710,1607392,12498
0500000US06039,06039,"Madera County, California",41052,1511,25064,1844,15988,2096
0500000US06041,06041,"Marin County, California",100201,1616,65129,2319,35072,2433
0500000US06045,06045,"Mendocino County, California",33169,1258,21429,1452,11740,1407
0500000US06047,06047,"Merced County, California",72180,1892,38913,2209,33267,2662
0500000US06053,06053,"Monterey County, California",123600,2003,68716,2531,54884,2821
0500000US06055,06055,"Napa County, California",47854,1272,29915,1619,17939,1701
0500000US06057,06057,"Nevada County, California",39426,1503,29191,1931,10235,1589
0500000US06059,06059,"Orange County, California",971208,3581,605615,6967,365593,7906
0500000US06061,06061,"Placer County, California",123334,2363,89272,2523,34062,2822
0500000US06065,06065,"Riverside County, California",643239,5284,444836,6011,198403,5319
0500000US06067,06067,"Sacramento County, California",500292,3592,306047,6029,194245,5916
0500000US06071,06071,"San Bernardino County, California",592650,4657,393257,6526,199393,6371
0500000US06073,06073,"San Diego County, California",1039619,6525,599242,8305,440377,8456
0500000US06075,06075,"San Francisco County, California",322547,3195,126712,4349,195835,4469
0500000US06077,06077,"San Joaquin County, California",210462,2349,132481,3772,77981,3549
0500000US06079,06079,"San Luis Obispo County, California",102007,2332,60654,2209,41353,2514
0500000US06081,06081,"San Mateo County, California",251755,2520,159025,3815,92730,3536
0500000US06083,06083,"Santa Barbara County, California",140752,2058,75011,2009,65741,2439
0500000US06085,06085,"Santa Clara County, California",585430,2909,354810,6056,230620,5831
0500000US06087,06087,"Santa Cruz County, California",92998,1704,55666,2221,37332,2695
0500000US06089,06089,"Shasta County, California",68385,1504,44889,2165,23496,2071
0500000US06095,06095,"Solano County, California",137306,1831,90468,3012,46838,2676
0500000US06097,06097,"Sonoma County, California",178483,1920,114133,3091,64350,2921
0500000US06099,06099,"Stanislaus County, California",160431,2017,102731,3409,57700,3023
0500000US06101,06101,"Sutter County, California",30330,872,19526,1348,10804,1304
0500000US06107,06107,"Tulare County, California",122153,1894,72770,2612,49383,2765
0500000US06111,06111,"Ventura County, California",259093,2535,177961,3791,81132,3647
0500000US06113,06113,"Yolo County, California",66385,1197,36338,1546,30047,1600
0500000US06115,06115,"Yuba County, California",24256,850,13381,1162,10875,1297
0500000US08001,08001,"Adams County, Colorado",144845,2293,101842,3052,43003,2737
0500000US08005,08005,"Arapahoe County, Colorado",211875,2625,143465,3117,68410,2782
0500000US08013,08013,"Boulder County, Colorado",112947,1688,74561,1946,38386,2052
0500000US08031,08031,"Denver County, Colorado",246047,3124,136802,3865,109245,4532
0500000US08035,08035,"Douglas County, Colorado",92065,1051,77159,1717,14906,1626
0500000US08041,08041,"El Paso County, Colorado",218846,2787,150335,3758,68511,4047
0500000US08059,08059,"Jefferson County, Colorado",213421,2225,156059,2866,57362,2936
0500000US08069,08069,"Larimer County, Colorado",113140,1724,75149,2360,37991,2893
0500000US08077,08077,"Mesa County, Colorado",53617,1079,37710,1521,15907,1441
0500000US08101,08101,"Pueblo County, Colorado",59314,1379,40553,1599,18761,1799
0500000US08123,08123,"Weld County, Colorado",81059,1937,57285,2410,23774,2350
0500000US09001,09001,"Fairfield County, Connecticut",325913,2520,232042,4052,93871,4102
0500000US09003,09003,"Hartford County, Connecticut",337359,2509,226048,3608,111311,3896
0500000US09005,09005,"Litchfield County, Connecticut",74951,1363,58043,2211,16908,1946
0500000US09007,09007,"Middlesex County, Connecticut",65575,1244,48447,1688,17128,1513
0500000US09009,09009,"New Haven County, Connecticut",320838,3126,212591,4232,108247,3991
0500000US09011,09011,"New London County, Connecticut",103662,1980,72397,2120,31265,2215
