GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - Owner occupied,Margin of Error; Total: - Owner occupied,Estimate; Total: - Renter occupied,Margin of Error; Total: - Renter occupied
0500000US01003,01003,"Baldwin County, Alabama",70259,2730,48841,2480,21418,2422
0500000US01015,01015,"Calhoun County, Alabama",43851,1874,29414,1902,14437,2035
0500000US01043,01043,"Cullman County, Alabama",32225,1220,24380,1557,7845,1383
0500000US01049,01049,"DeKalb County, Alabama",22754,1532,16331,1441,6423,1237
0500000US01051,01051,"Elmore County, Alabama",28292,1265,19811,1624,8481,1498
0500000US01055,01055,"Etowah County, Alabama",40135,1398,28911,1687,11224,1451
0500000US01069,01069,"Houston County, Alabama",40448,776,25484,825,14964,750
0500000US01073,01073,"Jefferson County, Alabama",257398,4051,160389,4411,97009,3582
0500000US01077,01077,"Lauderdale County, Alabama",39433,1143,26459,1537,12974,1620
0500000US01081,01081,"Lee County, Alabama",56840,1864,32878,1839,23962,1956
0500000US01083,01083,"Limestone County, Alabama",32879,1013,25147,1521,7732,1327
0500000US01089,01089,"Madison County, Alabama",137072,2423,90701,3013,46371,2898
0500000US01095,01095,"Marshall County, Alabama",33738,1383,24523,1561,9215,1073
0500000US01097,01097,"Mobile County, Alabama",148025,3155,98085,3630,49940,3389
0500000US01101,01101,"Montgomery County, Alabama",87996,2275,52126,2348,35870,2452
0500000US01103,01103,"Morgan County, Alabama",46779,1340,33269,1876,13510,1894
0500000US01115,01115,"St. Clair County, Alabama",31769,1447,26999,1634,4770,1177
0500000US01117,01117,"Shelby County, Alabama",73694,1900,58235,2203,15459,1851
0500000US01121,01121,"Talladega County, Alabama",31598,1227,23726,1323,7872,1498
0500000US01125,01125,"Tuscaloosa County, Alabama",69291,2168,42796,2406,26495,2081
0500000US01127,01127,"Walker County, Alabama",24963,1199,18378,1347,6585,1368
0500000US02020,02020,"Anchorage Municipality, Alaska",103445,2136,61373,2310,42072,2414
0500000US02090,02090,"Fairbanks North Star Borough, Alaska",34056,1790,20807,1504,13249,1861
0500000US02170,02170,"Matanuska-Susitna Borough, Alaska",30272,818,22964,980,7308,767
0500000US04001,04001,"Apache County, Arizona",17948,977,13677,940,4271,776
0500000US04003,04003,"Cochise County, Arizona",48368,2081,34059,1968,14309,1873
0500000US04005,04005,"Coconino County, Arizona",49002,1749,27914,1614,21088,2252
0500000US04013,04013,"Maricopa County, Arizona",1425393,8881,859362,9013,566031,10384
0500000US04015,04015,"Mohave County, Arizona",81257,3401,54283,2523,26974,2637
0500000US04017,04017,"Navajo County, Arizona",34147,1628,23649,1364,10498,1372
0500000US04019,04019,"Pima County, Arizona",391975,4189,237045,4001,154930,4956
0500000US04021,04021,"Pinal County, Arizona",128036,3708,88799,3644,39237,2740
0500000US04025,04025,"Yavapai County, Arizona",91064,2727,60360,3005,30704,2427
0500000US04027,04027,"Yuma County, Arizona",69744,2456,48590,2438,21154,2138
0500000US05007,05007,"Benton County, Arkansas",82644,2255,55865,2465,26779,2249
0500000US05031,05031,"Craighead County, Arkansas",37827,1212,21228,1407,16599,1503
0500000US05045,05045,"Faulkner County, Arkansas",42636,1417,28250,1721,14386,1612
0500000US05051,05051,"Garland County, Arkansas",41865,1734,27646,2020,14219,1546
0500000US05069,05069,"Jefferson County, Arkansas",27960,1291,17881,1131,10079,1288
0500000US05085,05085,"Lonoke County, Arkansas",24779,1186,17563,1238,7216,1171
0500000US05119,05119,"Pulaski County, Arkansas",148694,3381,90859,3247,57835,3578
0500000US05125,05125,"Saline County, Arkansas",41004,1235,32067,1572,8937,1315
0500000US05131,05131,"Sebastian County, Arkansas",50095,1205,29287,1870,20808,1834
0500000US05143,05143,"Washington County, Arkansas",81198,2085,43546,2124,37652,2564
0500000US05145,05145,"White County, Arkansas",29038,1153,20381,1199,8657,1053
0500000US06001,06001,"Alameda County, California",555909,3185,288417,4698,267492,5563
0500000US06007,06007,"Butte County, California",85158,1861,48961,2379,36197,2468
0500000US06013,06013,"Contra Costa County, California",382356,2597,247289,4837,135067,4372
0500000US06017,06017,"El Dorado County, California",66751,2444,48749,2157,18002,2125
0500000US06019,06019,"Fresno County, California",293517,3025,152766,3755,140751,4010
0500000US06023,06023,"Humboldt County, California",53191,1624,28950,1391,24241,1688
0500000US06025,06025,"Imperial County, California",47430,1637,25644,2032,21786,1814
0500000US06029,06029,"Kern County, California",257183,3334,137511,4443,119672,4683
0500000US06031,06031,"Kings County, California",41813,1167,21090,1578,20723,1555
0500000US06033,06033,"Lake County, California",26194,1356,16595,1322,9599,1401
0500000US06037,06037,"Los Angeles County, California",3247705,7125,1477894,14280,1769811,13917
0500000US06039,06039,"Madera County, California",44549,1512,25570,1786,18979,1576
0500000US06041,06041,"Marin County, California",102847,1783,67526,2327,35321,2272
0500000US06045,06045,"Mendocino County, California",33609,1411,19271,1571,14338,1851
0500000US06047,06047,"Merced County, California",77651,1744,40650,2025,37001,2002
0500000US06053,06053,"Monterey County, California",125553,1864,61919,2274,63634,2370
0500000US06055,06055,"Napa County, California",47482,1286,29568,1564,17914,1604
0500000US06057,06057,"Nevada County, California",39115,1869,28215,1601,10900,1783
0500000US06059,06059,"Orange County, California",1003790,4885,577242,6926,426548,7197
