GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Owner occupied,Margin of Error; Owner occupied,Estimate; Renter occupied,Margin of Error; Renter occupied
0500000US01003,01003,"Baldwin County, Alabama",5763,982,4501,834,1262,933
0500000US01015,01015,"Calhoun County, Alabama",8970,815,4924,742,4046,960
0500000US01043,01043,"Cullman County, Alabama",260,232,105,65,155,201
0500000US01051,01051,"Elmore County, Alabama",4062,669,2359,544,1703,640
0500000US01055,01055,"Etowah County, Alabama",5872,644,3268,583,2604,701
0500000US01069,01069,"Houston County, Alabama",8969,498,4296,447,4673,518
0500000US01073,01073,"Jefferson County, Alabama",103132,2637,57916,2736,45216,3212
0500000US01077,01077,"Lauderdale County, Alabama",3418,471,1543,446,1875,625
0500000US01081,01081,"Lee County, Alabama",13076,868,5579,830,7497,1098
0500000US01083,01083,"Limestone County, Alabama",3375,738,2542,713,833,501
0500000US01089,01089,"Madison County, Alabama",26691,1425,13970,1363,12721,1350
0500000US01097,01097,"Mobile County, Alabama",46080,1902,25941,1843,20139,1632
0500000US01101,01101,"Montgomery County, Alabama",44464,1955,21313,1961,23151,2090
0500000US01103,01103,"Morgan County, Alabama",5450,984,2289,556,3161,1061
0500000US01115,01115,"St. Clair County, Alabama",1623,685,1309,539,314,456
0500000US01117,01117,"Shelby County, Alabama",6573,758,3124,622,3449,932
0500000US01121,01121,"Talladega County, Alabama",8312,887,5328,815,2984,968
0500000US01125,01125,"Tuscaloosa County, Alabama",21169,1071,8865,1111,12304,1320
0500000US01127,01127,"Walker County, Alabama",1616,341,936,248,680,304
0500000US02020,02020,"Anchorage Municipality, Alaska",6972,1051,2558,946,4414,1016
0500000US02090,02090,"Fairbanks North Star Borough, Alaska",1114,596,253,279,861,511
0500000US02170,02170,"Matanuska-Susitna Borough, Alaska",99,60,24,27,75,52
0500000US04003,04003,"Cochise County, Arizona",1561,448,546,224,1015,466
0500000US04013,04013,"Maricopa County, Arizona",51083,2647,19877,1679,31206,2899
0500000US04015,04015,"Mohave County, Arizona",745,349,307,350,438,376
0500000US04019,04019,"Pima County, Arizona",10097,1286,4623,720,5474,1249
0500000US04021,04021,"Pinal County, Arizona",2088,536,1292,423,796,470
0500000US04027,04027,"Yuma County, Arizona",1507,718,828,799,679,344
0500000US05031,05031,"Craighead County, Arkansas",2979,740,816,474,2163,593
0500000US05045,05045,"Faulkner County, Arkansas",3742,486,2098,405,1644,666
0500000US05051,05051,"Garland County, Arkansas",2955,648,1118,459,1837,683
