GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - Owner occupied,Margin of Error; Total: - Owner occupied,Estimate; Total: - Renter occupied,Margin of Error; Total: - Renter occupied
0500000US01003,01003,"Baldwin County, Alabama",5586,961,2964,735,2622,1081
0500000US01015,01015,"Calhoun County, Alabama",10032,929,4554,820,5478,982
0500000US01043,01043,"Cullman County, Alabama",581,303,206,152,375,360
0500000US01051,01051,"Elmore County, Alabama",5214,879,3230,831,1984,803
0500000US01055,01055,"Etowah County, Alabama",5579,639,3039,504,2540,580
0500000US01069,01069,"Houston County, Alabama",9537,579,3799,360,5738,629
0500000US01073,01073,"Jefferson County, Alabama",108022,3044,51283,2358,56739,3012
0500000US01077,01077,"Lauderdale County, Alabama",3390,711,1741,614,1649,622
0500000US01081,01081,"Lee County, Alabama",13864,1414,5762,987,8102,1437
0500000US01083,01083,"Limestone County, Alabama",4456,733,2368,686,2088,645
0500000US01089,01089,"Madison County, Alabama",32417,1792,13969,1493,18448,1955
0500000US01095,01095,"Marshall County, Alabama",621,247,148,96,473,242
0500000US01097,01097,"Mobile County, Alabama",51984,1814,25088,1657,26896,2241
0500000US01101,01101,"Montgomery County, Alabama",49256,1510,23478,1825,25778,1982
0500000US01103,01103,"Morgan County, Alabama",5245,849,2433,620,2812,858
0500000US01115,01115,"St. Clair County, Alabama",3106,499,1628,635,1478,607
0500000US01117,01117,"Shelby County, Alabama",7571,771,5130,872,2441,618
0500000US01121,01121,"Talladega County, Alabama",9699,894,6127,687,3572,826
0500000US01125,01125,"Tuscaloosa County, Alabama",20325,1042,9538,1158,10787,1307
0500000US01127,01127,"Walker County, Alabama",1530,575,586,319,944,495
0500000US02020,02020,"Anchorage Municipality, Alaska",6675,1032,1218,524,5457,1039
0500000US02090,02090,"Fairbanks North Star Borough, Alaska",1734,612,442,439,1292,606
0500000US04003,04003,"Cochise County, Arizona",1501,420,488,314,1013,399
0500000US04005,04005,"Coconino County, Arizona",659,349,261,112,398,331
0500000US04013,04013,"Maricopa County, Arizona",74431,3180,20980,1925,53451,3607
0500000US04015,04015,"Mohave County, Arizona",1217,625,442,362,775,597
0500000US04019,04019,"Pima County, Arizona",11199,1156,4645,702,6554,1234
0500000US04021,04021,"Pinal County, Arizona",4660,659,1992,523,2668,643
0500000US04025,04025,"Yavapai County, Arizona",601,430,294,194,307,400
0500000US04027,04027,"Yuma County, Arizona",1848,605,572,364,1276,653
0500000US05007,05007,"Benton County, Arkansas",1563,431,440,292,1123,465
0500000US05031,05031,"Craighead County, Arkansas",3990,916,830,776,3160,1038
0500000US05045,05045,"Faulkner County, Arkansas",4355,726,1512,522,2843,802
0500000US05051,05051,"Garland County, Arkansas",2647,769,892,496,1755,633
0500000US05069,05069,"Jefferson County, Arkansas",16382,965,9052,1042,7330,1166
0500000US05085,05085,"Lonoke County, Arkansas",1757,315,840,202,917,315
0500000US05119,05119,"Pulaski County, Arkansas",52768,2251,22187,2189,30581,2582
0500000US05125,05125,"Saline County, Arkansas",2815,395,1122,408,1693,518
