GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Owner occupied,Margin of Error; Owner occupied,Estimate; Renter occupied,Margin of Error; Renter occupied
0500000US01003,01003,"Baldwin County, Alabama",57528,2064,45381,2329,12147,1787
0500000US01015,01015,"Calhoun County, Alabama",36434,1380,28502,1690,7932,1460
0500000US01043,01043,"Cullman County, Alabama",28294,1130,20533,1287,7761,1189
0500000US01049,01049,"DeKalb County, Alabama",23632,835,18170,1165,5462,1167
0500000US01051,01051,"Elmore County, Alabama",20613,796,17137,1076,3476,945
0500000US01055,01055,"Etowah County, Alabama",35275,1342,27615,1409,7660,1199
0500000US01069,01069,"Houston County, Alabama",27120,697,20696,756,6424,638
0500000US01073,01073,"Jefferson County, Alabama",155752,3219,119086,3404,36666,3656
0500000US01077,01077,"Lauderdale County, Alabama",32032,1213,24313,1493,7719,1230
0500000US01081,01081,"Lee County, Alabama",37720,1136,23241,1329,14479,1441
0500000US01083,01083,"Limestone County, Alabama",22128,820,17581,1136,4547,922
0500000US01089,01089,"Madison County, Alabama",88271,2310,66640,3075,21631,2577
0500000US01095,01095,"Marshall County, Alabama",30311,1062,22630,1450,7681,1132
0500000US01097,01097,"Mobile County, Alabama",94862,2664,72548,2592,22314,2184
0500000US01101,01101,"Montgomery County, Alabama",41259,1527,32932,1659,8327,1577
0500000US01103,01103,"Morgan County, Alabama",37230,1483,28609,1866,8621,1410
0500000US01115,01115,"St. Clair County, Alabama",22989,1588,19832,1665,3157,1106
0500000US01117,01117,"Shelby County, Alabama",55117,1590,44749,2079,10368,1585
0500000US01121,01121,"Talladega County, Alabama",19652,1055,14766,1044,4886,906
0500000US01125,01125,"Tuscaloosa County, Alabama",46288,1618,30890,1461,15398,1513
0500000US01127,01127,"Walker County, Alabama",25039,1155,20180,1277,4859,990
0500000US02020,02020,"Anchorage Municipality, Alaska",75311,1946,51093,2244,24218,2243
0500000US02090,02090,"Fairbanks North Star Borough, Alaska",24763,856,15187,1243,9576,1064
0500000US02170,02170,"Matanuska-Susitna Borough, Alaska",19941,685,16001,987,3940,834
0500000US04001,04001,"Apache County, Arizona",5168,447,3410,503,1758,645
0500000US04003,04003,"Cochise County, Arizona",32741,1293,23548,1457,9193,1221
0500000US04005,04005,"Coconino County, Arizona",28451,1179,17905,1112,10546,1317
0500000US04013,04013,"Maricopa County, Arizona",931160,8419,696166,9060,234994,7237
0500000US04015,04015,"Mohave County, Arizona",64042,1805,48565,2228,15477,1981
0500000US04017,04017,"Navajo County, Arizona",17147,1160,13972,1247,3175,892
0500000US04019,04019,"Pima County, Arizona",245488,3650,170798,3952,74690,3177
0500000US04021,04021,"Pinal County, Arizona",61796,2238,50441,2282,11355,1862
0500000US04025,04025,"Yavapai County, Arizona",70654,1879,52537,2215,18117,2101
0500000US04027,04027,"Yuma County, Arizona",35116,1520,27435,1793,7681,1329
0500000US05007,05007,"Benton County, Arkansas",58388,2148,42981,2304,15407,1756
0500000US05031,05031,"Craighead County, Arkansas",28905,1124,19345,1167,9560,1385
0500000US05045,05045,"Faulkner County, Arkansas",31656,1332,22748,1653,8908,1114
0500000US05051,05051,"Garland County, Arkansas",34611,1529,24319,1503,10292,1612
0500000US05069,05069,"Jefferson County, Arkansas",15699,752,12006,966,3693,836
0500000US05119,05119,"Pulaski County, Arkansas",96201,2640,68638,2833,27563,2544
0500000US05125,05125,"Saline County, Arkansas",34302,792,25929,1315,8373,1246
0500000US05131,05131,"Sebastian County, Arkansas",36911,1341,25097,1528,11814,1592
0500000US05143,05143,"Washington County, Arkansas",60852,1606,36741,1778,24111,1614
0500000US05145,05145,"White County, Arkansas",25141,714,18047,1325,7094,1252
0500000US06001,06001,"Alameda County, California",243692,3721,157163,4233,86529,4301
0500000US06007,06007,"Butte County, California",67861,2185,41543,2118,26318,2168
0500000US06013,06013,"Contra Costa County, California",222432,3554,168219,4029,54213,3414
0500000US06017,06017,"El Dorado County, California",56577,1778,42350,2086,14227,1945
0500000US06019,06019,"Fresno County, California",128699,2034,90569,2978,38130,2603
0500000US06023,06023,"Humboldt County, California",43155,1218,26535,1382,16620,1378
0500000US06025,06025,"Imperial County, California",11204,731,8154,986,3050,847
0500000US06029,06029,"Kern County, California",127326,2844,89248,3388,38078,3214
0500000US06031,06031,"Kings County, California",19314,975,11844,835,7470,1026
0500000US06033,06033,"Lake County, California",21525,1206,15727,1558,5798,1442
0500000US06037,06037,"Los Angeles County, California",1249171,9574,745876,9973,503295,9684
0500000US06039,06039,"Madera County, California",22272,1232,16705,1421,5567,1204
0500000US06041,06041,"Marin County, California",84854,1531,59867,2491,24987,2401
0500000US06045,06045,"Mendocino County, California",27464,998,18760,1498,8704,1236
0500000US06047,06047,"Merced County, California",32853,1112,23123,1518,9730,1212
0500000US06053,06053,"Monterey County, California",64786,2419,42471,2338,22315,1932
0500000US06055,06055,"Napa County, California",36127,1260,25261,1749,10866,1409
0500000US06057,06057,"Nevada County, California",36952,1225,27101,1704,9851,1667
0500000US06059,06059,"Orange County, California",577949,5962,401797,7097,176152,6124
0500000US06061,06061,"Placer County, California",98932,2186,72928,3190,26004,2571
0500000US06065,06065,"Riverside County, California",351517,5221,268937,6066,82580,5114
0500000US06067,06067,"Sacramento County, California",303044,3727,202935,4524,100109,4524
0500000US06071,06071,"San Bernardino County, California",279921,4569,199832,5823,80089,4395
0500000US06073,06073,"San Diego County, California",652726,6607,425152,7106,227574,7134
0500000US06075,06075,"San Francisco County, California",171882,2917,63781,3233,108101,3733
0500000US06077,06077,"San Joaquin County, California",104243,2660,72388,2298,31855,2542
0500000US06079,06079,"San Luis Obispo County, California",85413,2153,56574,2438,28839,2512
0500000US06081,06081,"San Mateo County, California",142315,2954,102556,3162,39759,2864
0500000US06083,06083,"Santa Barbara County, California",90728,3033,58705,2627,32023,2503
0500000US06085,06085,"Santa Clara County, California",281155,3722,191482,4725,89673,4521
0500000US06087,06087,"Santa Cruz County, California",70570,1989,46371,2236,24199,1813
0500000US06089,06089,"Shasta County, California",59477,1467,41196,1721,18281,1819
0500000US06095,06095,"Solano County, California",71326,2138,52339,2174,18987,1963
0500000US06097,06097,"Sonoma County, California",140721,2297,96145,3423,44576,2948
0500000US06099,06099,"Stanislaus County, California",96978,1974,66809,2662,30169,2369
0500000US06101,06101,"Sutter County, California",18937,1016,13073,1110,5864,962
0500000US06107,06107,"Tulare County, California",59020,1641,41351,1820,17669,1659
0500000US06111,06111,"Ventura County, California",160352,2583,122860,3320,37492,2980
0500000US06113,06113,"Yolo County, California",40610,1295,25157,1496,15453,1622
0500000US06115,06115,"Yuba County, California",16253,935,9582,1051,6671,1050
0500000US08001,08001,"Adams County, Colorado",89177,2396,66391,2244,22786,2144
0500000US08005,08005,"Arapahoe County, Colorado",151215,2550,114167,3037,37048,2636
