GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - Owner occupied,Margin of Error; Total: - Owner occupied,Estimate; Total: - Renter occupied,Margin of Error; Total: - Renter occupied
0500000US01003,01003,"Baldwin County, Alabama",61410,2659,46688,2616,14722,2331
0500000US01015,01015,"Calhoun County, Alabama",34281,1378,26333,1499,7948,1461
0500000US01043,01043,"Cullman County, Alabama",28790,1244,22062,1569,6728,1293
0500000US01049,01049,"DeKalb County, Alabama",21469,1239,15735,1188,5734,1301
0500000US01051,01051,"Elmore County, Alabama",22394,1115,18864,1130,3530,979
0500000US01055,01055,"Etowah County, Alabama",32614,1277,23025,1360,9589,1541
0500000US01069,01069,"Houston County, Alabama",28099,664,21074,710,7025,687
0500000US01073,01073,"Jefferson County, Alabama",139879,2704,103467,2624,36412,2682
0500000US01077,01077,"Lauderdale County, Alabama",33605,1077,23786,1267,9819,1159
0500000US01081,01081,"Lee County, Alabama",40181,1794,25778,1494,14403,1961
0500000US01083,01083,"Limestone County, Alabama",25458,1142,20501,1406,4957,1024
0500000US01089,01089,"Madison County, Alabama",97266,2040,75645,2299,21621,1931
0500000US01095,01095,"Marshall County, Alabama",31214,995,22046,1231,9168,1123
0500000US01097,01097,"Mobile County, Alabama",92702,1931,71201,2037,21501,1766
0500000US01101,01101,"Montgomery County, Alabama",35657,1214,26216,1281,9441,1458
0500000US01103,01103,"Morgan County, Alabama",36326,1385,26697,1713,9629,1608
0500000US01115,01115,"St. Clair County, Alabama",28088,1111,22085,1375,6003,1232
0500000US01117,01117,"Shelby County, Alabama",62648,1320,51183,1616,11465,1376
0500000US01121,01121,"Talladega County, Alabama",20285,1126,15703,1184,4582,996
0500000US01125,01125,"Tuscaloosa County, Alabama",44735,1880,32514,1776,12221,1656
0500000US01127,01127,"Walker County, Alabama",22276,981,16821,1034,5455,820
0500000US02020,02020,"Anchorage Municipality, Alaska",71893,1941,47913,2274,23980,2448
0500000US02090,02090,"Fairbanks North Star Borough, Alaska",28182,1243,16867,1379,11315,1534
0500000US02170,02170,"Matanuska-Susitna Borough, Alaska",26423,686,20184,806,6239,716
0500000US04001,04001,"Apache County, Arizona",5272,472,3821,634,1451,484
0500000US04003,04003,"Cochise County, Arizona",31592,1455,22897,1302,8695,1109
0500000US04005,04005,"Coconino County, Arizona",29351,1257,18570,1258,10781,1294
0500000US04013,04013,"Maricopa County, Arizona",978977,6324,651585,8270,327392,7903
0500000US04015,04015,"Mohave County, Arizona",68225,2619,47280,2296,20945,1824
0500000US04017,04017,"Navajo County, Arizona",17400,1118,12779,1048,4621,1074
0500000US04019,04019,"Pima County, Arizona",247776,3658,164011,3324,83765,3850
0500000US04021,04021,"Pinal County, Arizona",91815,2427,69458,2828,22357,2260
0500000US04025,04025,"Yavapai County, Arizona",78909,2612,58026,2401,20883,2575
0500000US04027,04027,"Yuma County, Arizona",30316,999,23234,1039,7082,1239
0500000US05007,05007,"Benton County, Arkansas",69590,1772,48918,2027,20672,1856
0500000US05031,05031,"Craighead County, Arkansas",31674,1438,20949,1505,10725,1374
0500000US05045,05045,"Faulkner County, Arkansas",36308,1416,24188,1394,12120,1677
0500000US05051,05051,"Garland County, Arkansas",34766,1719,24708,1808,10058,1747
0500000US05069,05069,"Jefferson County, Arkansas",11151,780,8875,812,2276,684
