GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Owner occupied,Margin of Error; Owner occupied,Estimate; Renter occupied,Margin of Error; Renter occupied
0500000US01003,01003,"Baldwin County, Alabama",995,434,426,473,569,242
0500000US01015,01015,"Calhoun County, Alabama",578,234,229,157,349,226
0500000US01043,01043,"Cullman County, Alabama",870,320,308,296,562,252
0500000US01049,01049,"DeKalb County, Alabama",886,359,551,513,335,264
0500000US01051,01051,"Elmore County, Alabama",356,67,79,84,277,106
0500000US01055,01055,"Etowah County, Alabama",743,149,300,238,443,233
0500000US01073,01073,"Jefferson County, Alabama",4967,718,1710,854,3257,704
0500000US01081,01081,"Lee County, Alabama",559,238,227,211,332,135
0500000US01083,01083,"Limestone County, Alabama",582,163,298,198,284,175
0500000US01089,01089,"Madison County, Alabama",1944,391,596,234,1348,355
0500000US01095,01095,"Marshall County, Alabama",1288,414,488,175,800,422
0500000US01097,01097,"Mobile County, Alabama",1895,515,712,394,1183,382
0500000US01101,01101,"Montgomery County, Alabama",524,237,332,264,192,94
0500000US01103,01103,"Morgan County, Alabama",1260,322,236,222,1024,288
0500000US01117,01117,"Shelby County, Alabama",1959,355,1104,441,855,346
0500000US01125,01125,"Tuscaloosa County, Alabama",843,303,136,126,707,300
0500000US01127,01127,"Walker County, Alabama",215,122,128,117,87,91
0500000US02020,02020,"Anchorage Municipality, Alaska",4899,730,2371,639,2528,662
0500000US02090,02090,"Fairbanks North Star Borough, Alaska",1620,492,802,433,818,483
0500000US02170,02170,"Matanuska-Susitna Borough, Alaska",491,213,374,180,117,131
0500000US04001,04001,"Apache County, Arizona",504,338,340,269,164,169
0500000US04003,04003,"Cochise County, Arizona",12656,1078,7570,988,5086,1057
0500000US04005,04005,"Coconino County, Arizona",5250,715,2301,510,2949,778
0500000US04013,04013,"Maricopa County, Arizona",277783,5200,146040,5328,131743,5036
0500000US04015,04015,"Mohave County, Arizona",7032,958,3458,640,3574,954
0500000US04017,04017,"Navajo County, Arizona",2881,481,1818,450,1063,617
0500000US04019,04019,"Pima County, Arizona",89750,2702,53403,2569,36347,2781
0500000US04021,04021,"Pinal County, Arizona",22279,1420,14786,1603,7493,1501
0500000US04025,04025,"Yavapai County, Arizona",6022,591,3325,650,2697,793
0500000US04027,04027,"Yuma County, Arizona",31145,1700,20880,1675,10265,1758
0500000US05007,05007,"Benton County, Arkansas",7341,930,4404,788,2937,925
0500000US05031,05031,"Craighead County, Arkansas",464,271,231,288,233,108
0500000US05045,05045,"Faulkner County, Arkansas",716,235,439,265,277,133
0500000US05051,05051,"Garland County, Arkansas",655,314,241,235,414,237
0500000US05119,05119,"Pulaski County, Arkansas",4001,418,1806,553,2195,586
0500000US05125,05125,"Saline County, Arkansas",649,238,220,190,429,354
0500000US05131,05131,"Sebastian County, Arkansas",3158,807,1171,478,1987,806
0500000US05143,05143,"Washington County, Arkansas",6062,671,2274,711,3788,784
0500000US05145,05145,"White County, Arkansas",519,210,284,202,235,185
0500000US06001,06001,"Alameda County, California",77815,2852,38920,2462,38895,3193
0500000US06007,06007,"Butte County, California",7916,877,3349,648,4567,827
0500000US06013,06013,"Contra Costa County, California",56173,2437,34981,2561,21192,2333
0500000US06017,06017,"El Dorado County, California",4769,714,3036,820,1733,641
0500000US06019,06019,"Fresno County, California",106901,3043,48491,2628,58410,3307
0500000US06023,06023,"Humboldt County, California",2323,476,743,320,1580,431
0500000US06025,06025,"Imperial County, California",30370,1433,16179,1582,14191,1645
0500000US06029,06029,"Kern County, California",87447,2457,47170,2731,40277,2720
0500000US06031,06031,"Kings County, California",15793,1087,7752,1088,8041,1125
0500000US06033,06033,"Lake County, California",2871,697,1401,567,1470,720
0500000US06037,06037,"Los Angeles County, California",1136136,9174,466814,7852,669322,10384
0500000US06039,06039,"Madera County, California",14989,1251,6669,1132,8320,1386
0500000US06041,06041,"Marin County, California",8898,1350,3534,856,5364,1002
0500000US06045,06045,"Mendocino County, California",3957,729,1424,541,2533,732
0500000US06047,06047,"Merced County, California",31290,1779,13840,1733,17450,1907
0500000US06053,06053,"Monterey County, California",46773,1964,21231,1983,25542,2240
0500000US06055,06055,"Napa County, California",8702,1123,3781,951,4921,1052
0500000US06057,06057,"Nevada County, California",2271,490,1024,511,1247,565
0500000US06059,06059,"Orange County, California",215293,4578,99850,4046,115443,5194
0500000US06061,06061,"Placer County, California",9091,1202,5415,975,3676,875
0500000US06065,06065,"Riverside County, California",204836,4490,125876,4698,78960,4144
0500000US06067,06067,"Sacramento County, California",74687,2591,40513,2666,34174,2848
0500000US06071,06071,"San Bernardino County, California",217242,4621,138375,4654,78867,4421
0500000US06073,06073,"San Diego County, California",230840,4657,103520,3790,127320,4335
0500000US06075,06075,"San Francisco County, California",35317,2140,11413,1680,23904,2369
0500000US06077,06077,"San Joaquin County, California",60438,1911,33095,2356,27343,2482
