GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - Owner occupied,Margin of Error; Total: - Owner occupied,Estimate; Total: - Renter occupied,Margin of Error; Total: - Renter occupied
0500000US01003,01003,"Baldwin County, Alabama",2628,731,1017,607,1611,784
0500000US01015,01015,"Calhoun County, Alabama",1117,283,321,211,796,319
0500000US01043,01043,"Cullman County, Alabama",814,450,274,212,540,489
0500000US01049,01049,"DeKalb County, Alabama",2273,493,1442,545,831,540
0500000US01051,01051,"Elmore County, Alabama",533,318,349,273,184,174
0500000US01055,01055,"Etowah County, Alabama",640,285,451,284,189,230
0500000US01069,01069,"Houston County, Alabama",786,202,261,122,525,170
0500000US01073,01073,"Jefferson County, Alabama",7741,671,3020,786,4721,706
0500000US01077,01077,"Lauderdale County, Alabama",602,249,286,225,316,270
0500000US01081,01081,"Lee County, Alabama",1709,764,945,632,764,577
0500000US01083,01083,"Limestone County, Alabama",1133,417,353,300,780,338
0500000US01089,01089,"Madison County, Alabama",4968,716,2370,608,2598,850
0500000US01095,01095,"Marshall County, Alabama",2403,614,841,347,1562,620
0500000US01097,01097,"Mobile County, Alabama",3535,595,1148,648,2387,784
0500000US01101,01101,"Montgomery County, Alabama",1889,373,915,274,974,389
0500000US01103,01103,"Morgan County, Alabama",2431,575,1248,572,1183,566
0500000US01117,01117,"Shelby County, Alabama",2994,520,1195,463,1799,536
0500000US01121,01121,"Talladega County, Alabama",416,172,97,140,319,170
0500000US01125,01125,"Tuscaloosa County, Alabama",1506,769,708,407,798,708
0500000US02020,02020,"Anchorage Municipality, Alaska",8353,889,2764,799,5589,1050
0500000US02090,02090,"Fairbanks North Star Borough, Alaska",2141,718,1038,741,1103,538
0500000US02170,02170,"Matanuska-Susitna Borough, Alaska",1130,190,837,184,293,176
0500000US04001,04001,"Apache County, Arizona",807,333,710,316,97,97
0500000US04003,04003,"Cochise County, Arizona",12364,1086,7475,997,4889,959
0500000US04005,04005,"Coconino County, Arizona",5658,804,2172,644,3486,750
0500000US04013,04013,"Maricopa County, Arizona",311941,5595,138278,4922,173663,6097
0500000US04015,04015,"Mohave County, Arizona",8876,1257,5440,905,3436,1103
0500000US04017,04017,"Navajo County, Arizona",3299,602,1840,498,1459,450
0500000US04019,04019,"Pima County, Arizona",106666,3116,55300,2624,51366,3508
0500000US04021,04021,"Pinal County, Arizona",27673,1852,14398,1629,13275,1764
0500000US04025,04025,"Yavapai County, Arizona",8058,958,4035,813,4023,907
0500000US04027,04027,"Yuma County, Arizona",36236,1850,22127,1560,14109,1940
0500000US05007,05007,"Benton County, Arkansas",9755,907,4798,933,4957,1143
0500000US05031,05031,"Craighead County, Arkansas",1085,440,303,313,782,369
0500000US05045,05045,"Faulkner County, Arkansas",1120,352,716,327,404,294
0500000US05051,05051,"Garland County, Arkansas",812,360,248,202,564,431
0500000US05085,05085,"Lonoke County, Arkansas",837,135,334,241,503,263
0500000US05119,05119,"Pulaski County, Arkansas",5909,930,2538,847,3371,895
0500000US05125,05125,"Saline County, Arkansas",1240,356,472,339,768,323
0500000US05131,05131,"Sebastian County, Arkansas",3662,585,1717,583,1945,710
0500000US05143,05143,"Washington County, Arkansas",8488,1176,2972,949,5516,1242
0500000US05145,05145,"White County, Arkansas",943,209,372,300,571,309
0500000US06001,06001,"Alameda County, California",91191,2900,34020,2384,57171,3018
0500000US06007,06007,"Butte County, California",9858,1006,4531,849,5327,955
0500000US06013,06013,"Contra Costa County, California",70674,2427,33913,2181,36761,2711
0500000US06017,06017,"El Dorado County, California",6596,676,3761,864,2835,718
0500000US06019,06019,"Fresno County, California",131182,2482,54668,3129,76514,3548
0500000US06023,06023,"Humboldt County, California",3246,535,805,337,2441,543
0500000US06025,06025,"Imperial County, California",32308,1747,17466,1723,14842,1743
0500000US06029,06029,"Kern County, California",107745,3059,53002,2919,54743,3156
0500000US06031,06031,"Kings County, California",18906,1088,8533,1092,10373,1422
0500000US06033,06033,"Lake County, California",3493,603,1892,662,1601,554
0500000US06037,06037,"Los Angeles County, California",1211133,8554,455399,9215,755734,11682
0500000US06039,06039,"Madera County, California",19271,1568,9086,1437,10185,1300
0500000US06041,06041,"Marin County, California",8995,1086,2174,641,6821,1019
